Team/Member,Username,Rival,Record,Points Scored,Points Against,Inseason Rank,Final Rank,Misc,Manage
Team greenhouse,dg10sox,---,9-5,"1,746.72","1,605.38",2,1,,Open options
Moby Huge,ESPNfan4105641903,---,13-1,"1,992.44","1,562.68",1,2,,Open options
Team Tibbetts,ESPNfan4482064991,---,8-6,"1,556.50","1,600.46",4,3,,Open options
Get MIXed,Jack56518,---,9-5,"1,568.46","1,451.36",3,4,,Open options
Team Proctor,ESPNFAN5617785783,---,6-8,"1,613.34","1,689.42",6,5,,Open options
Adrian  BeatHisSon,ESPNfan2157928003,---,7-7,"1,446.56","1,546.04",5,6,,Open options
Team Goose,Geoffrey121920011219,---,6-8,"1,489.80","1,563.94",9,7,,Open options
Ruggs Race team,espn58351799,---,4-10,"1,543.90","1,591.08",12,8,,Open options
Ceedeez Nutz,ESPNfan63965222,---,6-8,"1,557.40","1,529.44",7,9,,Open options
Glizzy Gladiators,ESPNFAN2653439712,---,5-9,"1,439.90","1,588.04",11,10,,Open options
DalvHIM Cook,colbysprague1,---,6-8,"1,545.78","1,610.52",8,11,,Open options
Team Infantino,Diesel85pass,---,5-9,"1,445.22","1,607.66",10,12,,Open options
