Week,Team,Score_2,Opponent,Score,Game_Type,Manage
Week 17,Glizzy Gladiators,218.84,Team greenhouse,188.86,Consolation Game,Open options
Week 17,Team Sprague,206.06,Chef Dalvin,271.96,Consolation Game,Open options
Week 17,Team Chesbrough,217.94,Team Proctor,237.76,Consolation Game,Open options
Week 17,Team Goose,261.54,Team Hyatt,216.44,Playoff Game,Open options
Week 17,Team Tibbetts,244.32,Krafts Massage Parlor,232.46,Championship Game,Open options
Week 16,Team Goose,245.94,Krafts Massage Parlor,256.08,Playoff Game,Open options
Week 16,Team Tibbetts,199.88,Team Hyatt,195.30,Playoff Game,Open options
Week 16,Team Sprague,178.90,Team Chesbrough,179.30,Consolation Game,Open options
Week 16,Team Proctor,224.06,Glizzy Gladiators,213.96,Consolation Game,Open options
Week 16,Chef Dalvin,214.62,Team greenhouse,163.98,Consolation Game,Open options
Week 14,Glizzy Gladiators,116.00,Krafts Massage Parlor,120.00,,Open options
Week 14,Team Hyatt,96.08,Team Chesbrough,156.04,,Open options
Week 14,Team greenhouse,104.40,Team Tibbetts,109.22,,Open options
Week 14,Chef Dalvin,96.92,Team Goose,143.72,,Open options
Week 14,Team Proctor,121.42,Team Sprague,103.82,,Open options
Week 13,Glizzy Gladiators,101.46,Team Hyatt,114.22,,Open options
Week 13,Team Chesbrough,88.30,Team Tibbetts,150.72,,Open options
Week 13,Krafts Massage Parlor,113.28,Team Goose,183.42,,Open options
Week 13,Team greenhouse,131.34,Team Proctor,94.40,,Open options
Week 13,Chef Dalvin,87.76,Team Sprague,102.06,,Open options
Week 12,Team Goose,135.34,Team greenhouse,101.08,,Open options
Week 12,Chef Dalvin,97.08,Team Hyatt,169.60,,Open options
Week 12,Team Sprague,93.82,Team Tibbetts,136.02,,Open options
Week 12,Glizzy Gladiators,112.20,Team Proctor,74.10,,Open options
Week 12,Krafts Massage Parlor,77.22,Team Chesbrough,118.18,,Open options
Week 11,Glizzy Gladiators,112.44,Team greenhouse,87.42,,Open options
Week 11,Team Sprague,119.48,Krafts Massage Parlor,159.28,,Open options
Week 11,Team Proctor,88.26,Chef Dalvin,88.20,,Open options
Week 11,Team Goose,192.18,Team Chesbrough,148.30,,Open options
Week 11,Team Hyatt,122.20,Team Tibbetts,117.08,,Open options
Week 10,Team Goose,120.40,Team Sprague,100.42,,Open options
Week 10,Team greenhouse,101.92,Chef Dalvin,142.64,,Open options
Week 10,Krafts Massage Parlor,120.06,Team Tibbetts,110.96,,Open options
Week 10,Team Hyatt,101.52,Team Proctor,92.14,,Open options
Week 10,Glizzy Gladiators,108.34,Team Chesbrough,87.22,,Open options
Week 9,Krafts Massage Parlor,113.54,Team Proctor,110.76,,Open options
Week 9,Chef Dalvin,62.94,Glizzy Gladiators,89.48,,Open options
Week 9,Team Chesbrough,104.92,Team Sprague,114.68,,Open options
Week 9,Team greenhouse,101.90,Team Hyatt,127.02,,Open options
Week 9,Team Goose,106.66,Team Tibbetts,111.78,,Open options
Week 8,Chef Dalvin,89.46,Krafts Massage Parlor,120.32,,Open options
Week 8,Team Sprague,90.02,Team greenhouse,104.60,,Open options
Week 8,Team Goose,130.10,Team Hyatt,100.72,,Open options
Week 8,Team Tibbetts,90.66,Glizzy Gladiators,89.10,,Open options
