Week,Team,Score_2,Opponent,Score,Game_Type,Manage
Week 8,Team Chesbrough,147.56,Team Proctor,173.86,,Open options
Week 7,Team Proctor,127.14,Team Tibbetts,131.74,,Open options
Week 7,Team Hyatt,126.28,Team Sprague,141.14,,Open options
Week 7,Glizzy Gladiators,71.90,Team Goose,120.06,,Open options
Week 7,Chef Dalvin,123.24,Team Chesbrough,143.46,,Open options
Week 7,Team greenhouse,147.72,Krafts Massage Parlor,139.58,,Open options
Week 6,Team Hyatt,159.28,Krafts Massage Parlor,109.60,,Open options
Week 6,Team greenhouse,117.78,Team Chesbrough,117.30,,Open options
Week 6,Chef Dalvin,110.48,Team Tibbetts,136.16,,Open options
Week 6,Team Goose,140.68,Team Proctor,104.92,,Open options
Week 6,Glizzy Gladiators,124.00,Team Sprague,154.20,,Open options
Week 5,Glizzy Gladiators,118.88,Chef Dalvin,109.28,,Open options
Week 5,Team Tibbetts,100.46,Team Chesbrough,141.76,,Open options
Week 5,Team greenhouse,124.48,Team Hyatt,198.58,,Open options
Week 5,Team Goose,187.64,Krafts Massage Parlor,157.42,,Open options
Week 5,Team Proctor,115.30,Team Sprague,140.04,,Open options
Week 4,Team Hyatt,127.84,Glizzy Gladiators,99.28,,Open options
Week 4,Krafts Massage Parlor,128.38,Team Chesbrough,133.72,,Open options
Week 4,Team Sprague,116.14,Team Tibbetts,135.52,,Open options
Week 4,Team Proctor,122.72,Team greenhouse,92.96,,Open options
Week 4,Chef Dalvin,99.92,Team Goose,135.66,,Open options
Week 3,Team Tibbetts,125.54,Team greenhouse,110.02,,Open options
Week 3,Chef Dalvin,128.30,Team Hyatt,100.18,,Open options
Week 3,Team Goose,132.18,Team Chesbrough,134.54,,Open options
Week 3,Team Proctor,116.72,Glizzy Gladiators,127.34,,Open options
Week 3,Krafts Massage Parlor,137.04,Team Sprague,104.54,,Open options
Week 2,Krafts Massage Parlor,122.62,Team Tibbetts,148.10,,Open options
Week 2,Team Goose,163.34,Team Sprague,110.88,,Open options
Week 2,Chef Dalvin,131.32,Team Proctor,98.06,,Open options
Week 2,Team greenhouse,157.72,Glizzy Gladiators,72.98,,Open options
Week 2,Team Hyatt,162.16,Team Chesbrough,138.00,,Open options
Week 1,Glizzy Gladiators,131.52,Krafts Massage Parlor,142.18,,Open options
Week 1,Team Hyatt,98.70,Team Proctor,164.50,,Open options
Week 1,Team Chesbrough,109.92,Team Sprague,137.72,,Open options
Week 1,Team greenhouse,97.06,Chef Dalvin,125.28,,Open options
Week 1,Team Tibbetts,112.46,Team Goose,130.86,,Open options
