Pick,Player,Team,Keeper,Note,Misc,Manage
6.2 (52),Carson Wentz · QB · (PHI),Team Tony,--,--,,Open options
6.3 (53),Delanie Walker · TE · (TEN),Emma  Infantino,--,--,,Open options
6.4 (54),Cam Newton · QB · (CAR),Team Infantino,--,--,,Open options
6.5 (55),Drew Brees · QB · (NO),Team Tibbetts,--,--,,Open options
6.6 (56),Aaron Jones · RB · (GB),Team Hyatt,--,--,,Open options
6.7 (57),Jared Cook · TE · (NO),Danielle  Johnson,--,--,,Open options
6.8 (58),Chris Godwin · WR · (TB),Team Rivers,--,--,,Open options
6.9 (59),Dak Prescott · QB · (DAL),Ari Long,--,--,,Open options
6.10 (60),Kenyan Drake · RB · (MIA),Team Sprague,--,--,,Open options
7.1 (61),Eric Ebron · TE · (IND),Team Sprague,--,--,,Open options
7.2 (62),Greg Zuerlein · K · (LAR),Ari Long,--,--,,Open options
7.3 (63),Mike Williams · WR · (LAC),Team Rivers,--,--,,Open options
7.4 (64),Jarvis Landry · WR · (CLE),Danielle  Johnson,--,--,,Open options
7.5 (65),O.J. Howard · TE · (TB),Team Hyatt,--,--,,Open options
7.6 (66),Josh Gordon · WR · (NE),Team Tibbetts,--,--,,Open options
7.7 (67),D.J. Moore · WR · (CAR),Team Infantino,--,--,,Open options
7.8 (68),Sony Michel · RB · (NE),Emma  Infantino,--,--,,Open options
7.9 (69),Hunter Henry · TE · (LAC),Team Tony,--,--,,Open options
7.10 (70),David Montgomery · RB · (CHI),Ryan Lever,--,--,,Open options
8.1 (71),Chicago Bears · DEF · (CHI),Ryan Lever,--,--,,Open options
8.2 (72),Marlon Mack · RB · (IND),Team Tony,--,--,,Open options
8.3 (73),Allen Robinson · WR · (CHI),Emma  Infantino,--,--,,Open options
8.4 (74),Tarik Cohen · RB · (CHI),Team Infantino,--,--,,Open options
8.5 (75),Phillip Lindsay · RB · (DEN),Team Tibbetts,--,--,,Open options
8.6 (76),Tom Brady · QB · (NE),Team Hyatt,--,--,,Open options
8.7 (77),Los Angeles Rams · DEF · (LAR),Danielle  Johnson,--,--,,Open options
8.8 (78),Tyler Boyd · WR · (CIN),Team Rivers,--,--,,Open options
8.9 (79),Marvin Jones · WR · (DET),Ari Long,--,--,,Open options
8.10 (80),Calvin Ridley · WR · (ATL),Team Sprague,--,--,,Open options
9.1 (81),Justin Tucker · K · (BAL),Team Sprague,--,--,,Open options
9.2 (82),Sterling Shepard · WR · (NYG),Ari Long,--,--,,Open options
9.3 (83),Sammy Watkins · WR · (KC),Team Rivers,--,--,,Open options
9.4 (84),Wil Lutz · K · (NO),Danielle  Johnson,--,--,,Open options
9.5 (85),Ben Roethlisberger · QB · (PIT),Team Hyatt,--,--,,Open options
9.6 (86),Harrison Butker · K · (KC),Team Tibbetts,--,--,,Open options
9.7 (87),Will Fuller · WR · (HOU),Team Infantino,--,--,,Open options
9.8 (88),Robbie Chosen · WR · (NYJ),Emma  Infantino,--,--,,Open options
9.9 (89),A.J. Green · WR · (FA),Team Tony,--,--,,Open options
9.10 (90),Dede Westbrook · WR · (JAX),Ryan Lever,--,--,,Open options
10.1 (91),Derrius Guice · RB · (WAS),Ryan Lever,--,--,,Open options
10.2 (92),Austin Ekeler · RB · (LAC),Team Tony,--,--,,Open options
10.3 (93),Ka'imi Fairbairn · K · (HOU),Emma  Infantino,--,--,,Open options
10.4 (94),Duke Johnson · RB · (HOU),Team Infantino,--,--,,Open options
10.5 (95),Tevin Coleman · RB · (SF),Team Tibbetts,--,--,,Open options
10.6 (96),Stephen Gostkowski · K · (NE),Team Hyatt,--,--,,Open options
10.7 (97),Corey Davis · WR · (TEN),Danielle  Johnson,--,--,,Open options
10.8 (98),Christian Kirk · WR · (ARI),Team Rivers,--,--,,Open options
10.9 (99),Miles Sanders · RB · (PHI),Ari Long,--,--,,Open options
10.10 (100),Lamar Jackson · QB · (BAL),Team Sprague,--,--,,Open options
11.1 (101),New Orleans Saints · DEF · (NO),Team Sprague,--,--,,Open options
11.2 (102),Vance McDonald · TE · (PIT),Ari Long,--,--,,Open options
11.3 (103),Emmanuel Sanders · WR · (DEN),Team Rivers,--,--,,Open options
11.4 (104),Royce Freeman · RB · (DEN),Danielle  Johnson,--,--,,Open options
11.5 (105),Robbie Gould · K · (SF),Team Hyatt,--,--,,Open options
11.6 (106),Rashaad Penny · RB · (SEA),Team Tibbetts,--,--,,Open options
11.7 (107),Mike Badgley · K · (DET),Team Infantino,--,--,,Open options
11.8 (108),Jared Goff · QB · (LAR),Emma  Infantino,--,--,,Open options
11.9 (109),Jamison Crowder · WR · (NYJ),Team Tony,--,--,,Open options
11.10 (110),Michael Gallup · WR · (DAL),Ryan Lever,--,--,,Open options
12.1 (111),Matt Prater · K · (DET),Ryan Lever,--,--,,Open options
12.2 (112),Nyheim Hines · RB · (IND),Team Tony,--,--,,Open options
12.3 (113),Buffalo Bills · DEF · (BUF),Emma  Infantino,--,--,,Open options
12.4 (114),Minnesota Vikings · DEF · (MIN),Team Infantino,--,--,,Open options
12.5 (115),DeSean Jackson · WR · (PHI),Team Tibbetts,--,--,,Open options
12.6 (116),Jacksonville Jaguars · DEF · (JAX),Team Hyatt,--,--,,Open options
12.7 (117),Kenny Stills · WR · (HOU),Danielle  Johnson,--,--,,Open options
12.8 (118),Peyton Barber · RB · (TB),Team Rivers,--,--,,Open options
12.9 (119),New England Patriots · DEF · (NE),Ari Long,--,--,,Open options
12.10 (120),Jordan Howard · RB · (PHI),Team Sprague,--,--,,Open options
13.1 (121),Latavius Murray · RB · (NO),Team Sprague,--,--,,Open options
13.2 (122),Larry Fitzgerald · WR · (ARI),Ari Long,--,--,,Open options
13.3 (123),David Njoku · TE · (CLE),Team Rivers,--,--,,Open options
13.4 (124),Austin Hooper · TE · (ATL),Danielle  Johnson,--,--,,Open options
13.5 (125),Los Angeles Chargers · DEF · (LAC),Team Hyatt,--,--,,Open options
13.6 (126),Cleveland Browns · DEF · (CLE),Team Tibbetts,--,--,,Open options
13.7 (127),Curtis Samuel · WR · (CAR),Team Infantino,--,--,,Open options
13.8 (128),Marquez Valdes-Scantling · WR · (GB),Emma  Infantino,--,--,,Open options
13.9 (129),Jake Elliott · K · (PHI),Team Tony,--,--,,Open options
13.10 (130),Donte Moncrief · WR · (PIT),Ryan Lever,--,--,,Open options
14.1 (131),Mitchell Trubisky · QB · (CHI),Ryan Lever,--,--,,Open options
14.2 (132),Indianapolis Colts · DEF · (IND),Team Tony,--,--,,Open options
14.3 (133),Matt Breida · RB · (SF),Emma  Infantino,--,--,,Open options
14.4 (134),Russell Wilson · QB · (SEA),Team Infantino,--,--,,Open options
14.5 (135),Kyler Murray · QB · (ARI),Team Tibbetts,--,--,,Open options
14.6 (136),Courtland Sutton · WR · (DEN),Team Hyatt,--,--,,Open options
14.7 (137),Philip Rivers · QB · (LAC),Danielle  Johnson,--,--,,Open options
14.8 (138),Tennessee Titans · DEF · (TEN),Team Rivers,--,--,,Open options
14.9 (139),Jameis Winston · QB · (TB),Ari Long,--,--,,Open options
14.10 (140),LeSean McCoy · RB · (KC),Team Sprague,--,--,,Open options
15.1 (141),Dante Pettis · WR · (SF),Team Sprague,--,--,,Open options
15.2 (142),Keke Coutee · WR · (FA),Ari Long,--,--,,Open options
15.3 (143),Jacoby Brissett · QB · (IND),Team Rivers,--,--,,Open options
15.4 (144),Houston Texans · DEF · (HOU),Danielle  Johnson,--,--,,Open options
15.5 (145),Darrell Henderson · RB · (LAR),Team Hyatt,--,--,,Open options
15.6 (146),Darwin Thompson · RB · (KC),Team Tibbetts,--,--,,Open options
15.7 (147),James Washington · WR · (PIT),Team Infantino,--,--,,Open options
15.8 (148),Ronald Jones · RB · (TB),Emma  Infantino,--,--,,Open options
15.9 (149),Greg Olsen · TE · (CAR),Team Tony,--,--,,Open options
15.10 (150),DK Metcalf · WR · (SEA),Ryan Lever,--,--,,Open options
16.1 (151),Jordan Reed · TE · (FA),Ryan Lever,--,--,,Open options
16.2 (152),Kirk Cousins · QB · (MIN),Team Tony,--,--,,Open options
16.3 (153),Geronimo Allison · WR · (FA),Emma  Infantino,--,--,,Open options
16.4 (154),Tyrell Williams · WR · (LV),Team Infantino,--,--,,Open options
16.5 (155),Anthony Miller · WR · (CHI),Team Tibbetts,--,--,,Open options
16.6 (156),Adam Humphries · WR · (TEN),Team Hyatt,--,--,,Open options
16.7 (157),Mason Crosby · K · (GB),Danielle  Johnson,--,--,,Open options
16.8 (158),Ryan Succop · K · (FA),Team Rivers,--,--,,Open options
16.9 (159),Devin Funchess · TE · (IND),Ari Long,--,--,,Open options
16.10 (160),Golden Tate · WR · (FA),Team Sprague,--,--,,Open options
