Pick,Player,Team,Keeper,Note,Misc,Manage
1.1 (1),Saquon Barkley · RB · (NYG),Team Sprague,--,--,,Open options
1.2 (2),Christian McCaffrey · RB · (CAR),Ari Long,--,--,,Open options
1.3 (3),Alvin Kamara · RB · (NO),Team Rivers,--,--,,Open options
1.4 (4),Todd Gurley · RB · (LAR),Danielle  Johnson,--,--,,Open options
1.5 (5),Ezekiel Elliott · RB · (DAL),Team Hyatt,--,--,,Open options
1.6 (6),Le'Veon Bell · RB · (NYJ),Team Tibbetts,--,--,,Open options
1.7 (7),Michael Thomas · WR · (NO),Team Infantino,--,--,,Open options
1.8 (8),Tyreek Hill · WR · (KC),Emma  Infantino,--,--,,Open options
1.9 (9),David Johnson · RB · (ARI),Team Tony,--,--,,Open options
1.10 (10),DeAndre Hopkins · WR · (HOU),Ryan Lever,--,--,,Open options
2.1 (11),Davante Adams · WR · (GB),Ryan Lever,--,--,,Open options
2.2 (12),JuJu Smith-Schuster · WR · (PIT),Team Tony,--,--,,Open options
2.3 (13),Baker Mayfield · QB · (CLE),Emma  Infantino,--,--,,Open options
2.4 (14),Travis Kelce · TE · (KC),Team Infantino,--,--,,Open options
2.5 (15),Julio Jones · WR · (ATL),Team Tibbetts,--,--,,Open options
2.6 (16),Joe Mixon · RB · (CIN),Team Hyatt,--,--,,Open options
2.7 (17),Antonio Brown · WR · (FA),Danielle  Johnson,--,--,,Open options
2.8 (18),Odell Beckham · WR · (CLE),Team Rivers,--,--,,Open options
2.9 (19),Keenan Allen · WR · (LAC),Ari Long,--,--,,Open options
2.10 (20),Patrick Mahomes · QB · (KC),Team Sprague,--,--,,Open options
3.1 (21),Mike Evans · WR · (TB),Team Sprague,--,--,,Open options
3.2 (22),Julian Edelman · WR · (NE),Ari Long,--,--,,Open options
3.3 (23),James Conner · RB · (PIT),Team Rivers,--,--,,Open options
3.4 (24),Adam Thielen · WR · (MIN),Danielle  Johnson,--,--,,Open options
3.5 (25),Amari Cooper · WR · (DAL),Team Hyatt,--,--,,Open options
3.6 (26),Nick Chubb · RB · (CLE),Team Tibbetts,--,--,,Open options
3.7 (27),Dalvin Cook · RB · (MIN),Team Infantino,--,--,,Open options
3.8 (28),Kerryon Johnson · RB · (DET),Emma  Infantino,--,--,,Open options
3.9 (29),Stefon Diggs · WR · (MIN),Team Tony,--,--,,Open options
3.10 (30),Devonta Freeman · RB · (ATL),Ryan Lever,--,--,,Open options
4.1 (31),George Kittle · TE · (SF),Ryan Lever,--,--,,Open options
4.2 (32),Josh Jacobs · RB · (LV),Team Tony,--,--,,Open options
4.3 (33),Brandin Cooks · WR · (LAR),Emma  Infantino,--,--,,Open options
4.4 (34),Leonard Fournette · RB · (JAX),Team Infantino,--,--,,Open options
4.5 (35),Zach Ertz · TE · (PHI),Team Tibbetts,--,--,,Open options
4.6 (36),Robert Woods · WR · (LAR),Team Hyatt,--,--,,Open options
4.7 (37),Deshaun Watson · QB · (HOU),Danielle  Johnson,--,--,,Open options
4.8 (38),Melvin Gordon · RB · (FA),Team Rivers,--,--,,Open options
4.9 (39),Mark Ingram · RB · (BAL),Ari Long,--,--,,Open options
4.10 (40),Derrick Henry · RB · (TEN),Team Sprague,--,--,,Open options
5.1 (41),T.Y. Hilton · WR · (IND),Team Sprague,--,--,,Open options
5.2 (42),Evan Engram · TE · (NYG),Ari Long,--,--,,Open options
5.3 (43),Kenny Golladay · WR · (DET),Team Rivers,--,--,,Open options
5.4 (44),James White · RB · (NE),Danielle  Johnson,--,--,,Open options
5.5 (45),Matt Ryan · QB · (ATL),Team Hyatt,--,--,,Open options
5.6 (46),Tyler Lockett · WR · (SEA),Team Tibbetts,--,--,,Open options
5.7 (47),Cooper Kupp · WR · (LAR),Team Infantino,--,--,,Open options
5.8 (48),Chris Carson · RB · (SEA),Emma  Infantino,--,--,,Open options
5.9 (49),Alshon Jeffery · WR · (PHI),Team Tony,--,--,,Open options
5.10 (50),Damien Williams · RB · (KC),Ryan Lever,--,--,,Open options
6.1 (51),Aaron Rodgers · QB · (GB),Ryan Lever,--,--,,Open options
