Transaction At,Type,Team,Transaction,FAAB,Misc,Manage
Week 17,,DakStreet Boyz,"(+) Chris Godwin TB WR, (-) Marquez Valdes-Scantling BUF WR",$0,,Open options
Week 17,,Half Chubb,"(+) Indianapolis Colts IND DEF, (-) Los Angeles Chargers LAC DEF",$0,,Open options
Week 17,,Half Chubb,"(+) Wan'Dale Robinson NYG WR, (-) Kenneth Walker III SEA RB",$0,,Open options
Week 17,,CeeDeez Nuts,"(+) Olamide Zaccheaus WAS WR, (-) Devin Singletary NYG RB",$0,,Open options
Week 17,,Half Chubb,"(+) Marvin Mims DEN WR, (-) Nick Chubb CLE RB",$0,,Open options
Week 17,,Remembering Tyreek Hill,(+) Darnell Mooney ATL WR,$0,,Open options
Week 17,,Half Chubb,"(+) Antonio Gibson NE RB, (-) Justice Hill BAL RB",$0,,Open options
Week 17,,Half Chubb,"(+) Chigoziem Okonkwo TEN TE, (-) Elijah Moore CLE WR",$0,,Open options
Week 17,,Nabers Think I'm Selli...,"(+) Chicago Bears CHI DEF, (-) New York Jets NYJ DEF",$0,,Open options
Week 17,,CeeDeez Nuts,"(+) Miami Dolphins MIA DEF, (-) Arizona Cardinals ARI DEF",$0,,Open options
Week 17,,Nabers Think I'm Selli...,(+) Bryce Young CAR QB,$0,,Open options
Week 17,,Ruggs Race team,(+) Mac Jones JAX QB,$0,,Open options
Week 16,,Pickens Cotton,"(+) Najee Harris PIT RB, (-) Darnell Mooney ATL WR",$0,,Open options
Week 16,,Pickens Cotton,"(+) Patrick Taylor SF RB, (-) Nick Westbrook-Ikhine TEN WR",$0,,Open options
Week 16,,I Am McLaurvin,"(+) Buffalo Bills BUF DEF, (-) Miami Dolphins MIA DEF",$0,,Open options
Week 16,,Pickens Cotton,"(+) Christian Watson GB WR, (-) San Francisco 49ers SF DEF",$0,,Open options
Week 16,,CeeDeez Nuts,"(+) Kendre Miller NO RB, (-) Joshua Palmer LAC WR",$0,,Open options
Week 16,,Nabers Think I'm Selli...,"(+) Trey Benson ARI RB, (-) Patrick Taylor SF RB",$0,,Open options
Week 16,,Half Chubb,"(+) Jalen McMillan TB WR, (-) Emanuel Wilson GB RB",$0,,Open options
Week 16,,Nabers Think I'm Selli...,"(+) Audric Estime DEN RB, (-) Sincere McCormick FA RB",$0,,Open options
Week 16,,Pickens Cotton,(+) Michael Penix Jr. ATL QB,$0,,Open options
Week 15,,Nabers Think I'm Selli...,"(+) New York Jets NYJ DEF, (-) Buffalo Bills BUF DEF",$0,,Open options
Week 15,,Nabers Think I'm Selli...,(+) Patrick Taylor SF RB,$0,,Open options
Week 15,,Nabers Think I'm Selli...,(+) Sincere McCormick FA RB,$0,,Open options
Week 15,,Remembering Tyreek Hill,(+) Jerome Ford CLE RB,$0,,Open options
Week 15,,In Godwin We (no longe...,"(+) Cincinnati Bengals CIN DEF, (-) Tampa Bay Buccaneers TB DEF",$0,,Open options
Week 15,,Nabers Think I'm Selli...,(+) Harrison Butker KC K,$0,,Open options
Week 15,,Remembering Tyreek Hill,"(+) Wil Lutz DEN K, (-) Jake Moody SF K",$0,,Open options
Week 15,,Pickens Cotton,(+) Atlanta Falcons ATL DEF,$0,,Open options
Week 15,,Ruggs Race team,"(+) Tampa Bay Buccaneers TB DEF, (-) Seattle Seahawks SEA DEF",$0,,Open options
Week 15,,Pickens Cotton,(+) Kimani Vidal LAC RB,$0,,Open options
Week 15,,I Am McLaurvin,"(+) Noah Gray KC TE, (-) Luke Schoonmaker DAL TE",$0,,Open options
Week 14,,DakStreet Boyz,"(+) Geno Smith SEA QB, (-) Austin Seibert WAS K",$0,,Open options
Week 14,,Ruggs Race team,"(+) Seattle Seahawks SEA DEF, (-) Indianapolis Colts IND DEF",$0,,Open options
Week 14,,Pickens Cotton,"(+) Zach Charbonnet SEA RB, (-) New York Jets NYJ DEF",$0,,Open options
Week 14,,Nabers Think I'm Selli...,"(+) Keon Coleman BUF WR, (-) Trey Benson ARI RB",$0,,Open options
Week 14,,Smell My Boutte,"(+) Isaac Guerendo SF RB, (-) Zach Charbonnet SEA RB",$0,,Open options
Week 14,,DakStreet Boyz,(+) Pittsburgh Steelers PIT DEF,$0,,Open options
Week 14,,CeeDeez Nuts,"(+) Arizona Cardinals ARI DEF, (-) Roschon Johnson CHI RB",$0,,Open options
Week 14,,Remembering Tyreek Hill,"(+) Noah Gray KC TE, (-) Raheem Mostert MIA RB",$0,,Open options
Week 14,,Pickens Cotton,(+) Tyjae Spears TEN RB,$0,,Open options
Week 14,,DakStreet Boyz,(+) Tyjae Spears TEN RB,$0,,Open options
Week 14,,In Godwin We (no longe...,"(+) Caleb Williams CHI QB, (-) Will Dissly LAC TE",$0,,Open options
Week 14,,CeeDeez Nuts,"(+) Joshua Palmer LAC WR, (-) Rashod Bateman BAL WR",$0,,Open options
Week 14,,Put that shi on,"(+) New Orleans Saints NO DEF, (-) Mack Hollins BUF WR",$0,,Open options
Week 14,,Addison Rae,"(+) John Parker Romo FA K, (-) Justin Tucker BAL K",$0,,Open options
Week 14,,Remembering Tyreek Hill,"(+) Cole Kmet CHI TE, (-) Noah Gray KC TE",$0,,Open options
Week 14,,Pickens Cotton,(+) Will Levis TEN QB,$0,,Open options
Week 14,,Pickens Cotton,"(+) Mike Gesicki CIN TE, (-) Geno Smith SEA QB",$0,,Open options
Week 14,,Smell My Boutte,"(+) Tennessee Titans TEN DEF, (-) Audric Estime DEN RB",$0,,Open options
Week 14,,Nabers Think I'm Selli...,"(+) Buffalo Bills BUF DEF, (-) Seattle Seahawks SEA DEF",$0,,Open options
Week 14,,Half Chubb,"(+) Elijah Moore CLE WR, (-) John Metchie HOU WR",$0,,Open options
Week 14,,Half Chubb,"(+) Los Angeles Chargers LAC DEF, (-) Houston Texans HOU DEF",$0,,Open options
Week 14,,Pickens Cotton,"(+) Nick Folk TEN K, (-) Wil Lutz DEN K",$0,,Open options
Week 14,,Addison Rae,"(+) Will Reichard MIN K, (-) John Parker Romo FA K",$0,,Open options
Week 14,,Nabers Think I'm Selli...,"(+) Matthew Wright FA K, (-) Spencer Shrader IND K",$0,,Open options
Week 13,,DakStreet Boyz,"(+) Dallas Cowboys DAL DEF, (-) Romeo Doubs GB WR",$0,,Open options
Week 13,,Nabers Think I'm Selli...,"(+) Seattle Seahawks SEA DEF, (-) Pittsburgh Steelers PIT DEF",$0,,Open options
Week 13,,Nabers Think I'm Selli...,"(+) Jeremy McNichols WAS RB, (-) Diontae Johnson CAR WR",$0,,Open options
Week 13,,Put that shi on,"(+) Mack Hollins BUF WR, (-) Keon Coleman BUF WR",$0,,Open options
Week 13,,Put that shi on,"(+) Gus Edwards LAC RB, (-) Elijah Moore CLE WR",$0,,Open options
Week 13,,Pickens Cotton,(+) New York Jets NYJ DEF,$0,,Open options
Week 13,,Ruggs Race team,"(+) Indianapolis Colts IND DEF, (-) Arizona Cardinals ARI DEF",$0,,Open options
Week 13,,Ruggs Race team,"(+) Tyler Bass BUF K, (-) Chad Ryland NE K",$0,,Open options
Week 13,,Pickens Cotton,(+) Nick Westbrook-Ikhine TEN WR,$0,,Open options
Week 12,,I Am McLaurvin,"(+) Miami Dolphins MIA DEF, (-) Tennessee Titans TEN DEF",$0,,Open options
Week 12,,Remembering Tyreek Hill,"(+) Javonte Williams DEN RB, (-) Tyjae Spears TEN RB",$0,,Open options
Week 12,,Nabers Think I'm Selli...,"(+) Pittsburgh Steelers PIT DEF, (-) New York Jets NYJ DEF",$0,,Open options
Week 12,,Smell My Boutte,"(+) Chase McLaughlin TB K, (-) Evan McPherson CIN K",$0,,Open options
Week 12,,CeeDeez Nuts,(+) Roschon Johnson CHI RB,$0,,Open options
Week 12,,Nabers Think I'm Selli...,"(+) Anthony Richardson IND QB, (-) Mike Williams NYJ WR",$0,,Open options
Week 12,,Put that shi on,"(+) Michael Wilson ARI WR, (-) Caleb Williams CHI QB",$0,,Open options
Week 12,,Nabers Think I'm Selli...,"(+) Adam Thielen CAR WR, (-) Younghoe Koo ATL K",$0,,Open options
Week 12,,I Am McLaurvin,(+) Jared Goff DET QB,$0,,Open options
Week 12,,DakStreet Boyz,(+) Matthew Stafford LAR QB,$0,,Open options
Week 12,,Pickens Cotton,(+) Will Levis TEN QB,$0,,Open options
Week 12,,Nabers Think I'm Selli...,"(+) Spencer Shrader IND K, (-) Dawson Knox BUF TE",$0,,Open options
Week 12,,DakStreet Boyz,(+) Ameer Abdullah LV RB,$0,,Open options
Week 12,,Ruggs Race team,"(+) Arizona Cardinals ARI DEF, (-) Buffalo Bills BUF DEF",$0,,Open options
Week 12,,CeeDeez Nuts,(+) Jason Sanders MIA K,$0,,Open options
Week 12,,DakStreet Boyz,(+) Theo Johnson NYG TE,$0,,Open options
Week 12,,Ruggs Race team,"(+) Chad Ryland NE K, (-) Tyler Bass BUF K",$0,,Open options
Week 12,,Pickens Cotton,(+) Wil Lutz DEN K,$0,,Open options
Week 12,,In Godwin We (no longe...,"(+) Tampa Bay Buccaneers TB DEF, (-) Los Angeles Rams LAR DEF",$0,,Open options
Week 12,,I Am McLaurvin,(+) Luke Schoonmaker DAL TE,$0,,Open options
Week 11,,Nabers Think I'm Selli...,"(+) New York Jets NYJ DEF, (-) Atlanta Falcons ATL DEF",$0,,Open options
Week 11,,Put that shi onSmell My Boutte,"(-) Josh Jacobs GB RB, (+) DeVonta Smith PHI WR, (+) Kyle Pitts ATL TE",$0,,Open options
Week 11,,Put that shi onSmell My Boutte,(-) Sterling Shepard TB WR,$0,,Open options
Week 11,,Nabers Think I'm Selli...,"(+) Christian Watson GB WR, (-) Jalen McMillan TB WR",$0,,Open options
Week 11,,Smell My Boutte,"(+) Audric Estime DEN RB, (-) Pittsburgh Steelers PIT DEF",$0,,Open options
Week 11,,CeeDeez Nuts,"(+) Miami Dolphins MIA DEF, (-) Buffalo Bills BUF DEF",$0,,Open options
Week 11,,Half Chubb,"(+) Houston Texans HOU DEF, (-) Chicago Bears CHI DEF",$0,,Open options
Week 11,,Half Chubb,"(+) John Metchie HOU WR, (-) Mason Tipton NO WR",$0,,Open options
Week 11,,In Godwin We (no longe...,"(+) Will Dissly LAC TE, (-) Chris Godwin TB WR",$0,,Open options
Week 11,,Nabers Think I'm Selli...,"(+) Dawson Knox BUF TE, (-) Javonte Williams DEN RB",$0,,Open options
Week 11,,Nabers Think I'm Selli...,"(+) Mike Williams NYJ WR, (-) Isaiah Likely BAL TE",$0,,Open options
Week 11,,Put that shi on,"(+) Elijah Moore CLE WR, (-) New York Jets NYJ DEF",$0,,Open options
Week 11,,Ruggs Race team,"(+) New Orleans Saints NO DEF, (-) Los Angeles Chargers LAC DEF",$0,,Open options
Week 11,,Ruggs Race team,"(+) Buffalo Bills BUF DEF, (-) New Orleans Saints NO DEF",$0,,Open options
Week 11,,CeeDeez Nuts,"(+) Blake Grupe NO K, (-) Harrison Butker KC K",$0,,Open options
Week 11,,Ruggs Race team,"(+) Tyler Bass BUF K, (-) Chase McLaughlin TB K",$0,,Open options
Week 11,,In Godwin We (no longe...,"(+) Los Angeles Rams LAR DEF, (-) New York Giants NYG DEF",$0,,Open options
Week 11,,DakStreet Boyz,(+) Marquez Valdes-Scantling BUF WR,$0,,Open options
Week 11,,Smell My Boutte,(+) Kayshon Boutte NE WR,$0,,Open options
Week 10,,I Am McLaurvin,"(+) Tennessee Titans TEN DEF, (-) Adam Thielen CAR WR",$0,,Open options
Week 10,,Smell My Boutte,"(+) Xavier Legette CAR WR, (-) Dontayvion Wicks PHI WR",$0,,Open options
Week 10,,I Am McLaurvin,"(+) Mike Gesicki CIN TE, (-) Tyler Conklin NYJ TE",$0,,Open options
Week 10,,Addison Rae,"(+) Philadelphia Eagles PHI DEF, (-) Tyler Johnson LAR WR",$0,,Open options
Week 10,,Remembering Tyreek Hill,"(+) Tyjae Spears TEN RB, (-) Daniel Jones NYG QB",$0,,Open options
Week 10,,Half Chubb,"(+) Dalton Schultz HOU TE, (-) Ja'Lynn Polk NE WR",$0,,Open options
Week 10,,Remembering Tyreek Hill,(+) Khalil Herbert CHI RB,$0,,Open options
Week 10,,Nabers Think I'm Selli...,"(+) Atlanta Falcons ATL DEF, (-) New Orleans Saints NO DEF",$0,,Open options
Week 10,,Smell My Boutte,"(+) Detroit Lions DET DEF, (-) Cincinnati Bengals CIN DEF",$0,,Open options
Week 10,,DakStreet Boyz,(+) Jake Elliott PHI K,$0,,Open options
Week 10,,CeeDeez Nuts,"(+) Buffalo Bills BUF DEF, (-) Cole Kmet CHI TE",$0,,Open options
Week 10,,Remembering Tyreek Hill,(+) Daniel Jones NYG QB,$0,,Open options
Week 10,,CeeDeez Nuts,(+) Jonnu Smith MIA TE,$0,,Open options
Week 10,,In Godwin We (no longe...,"(+) New York Giants NYG DEF, (-) Houston Texans HOU DEF",$0,,Open options
Week 10,,Put that shi on,"(+) Sterling Shepard TB WR, (-) Tyler Bass BUF K",$0,,Open options
Week 10,,Half Chubb,"(+) Mason Tipton NO WR, (-) John Metchie HOU WR",$0,,Open options
Week 9,,Smell My Boutte,"(+) Rome Odunze CHI WR, (-) Anthony Richardson IND QB",$0,,Open options
Week 9,,Pickens CottonCeeDeez Nuts,"(-) Devin Singletary NYG RB, (-) Mike Evans TB WR, (-) Tyler Allgeier ATL RB, (+) Austin Ekeler WAS RB, (+) Darnell Mooney ATL WR",$0,,Open options
Week 9,,CeeDeez NutsCeeDeez Nuts,(-) Wil Lutz DEN K,$0,,Open options
Week 9,,Smell My Boutte,"(+) Justin Herbert LAC QB, (-) Zamir White LV RB",$0,,Open options
Week 9,,I Am McLaurvin,"(+) Adam Thielen CAR WR, (-) Jake Elliott PHI K",$0,,Open options
Week 9,,Smell My Boutte,"(+) Cincinnati Bengals CIN DEF, (-) Trey Sermon IND RB",$0,,Open options
Week 9,,Half Chubb,(+) John Metchie HOU WR,$0,,Open options
Week 9,,Pickens Cotton,"(+) Gabriel Davis JAX WR, (-) Rome Odunze CHI WR",$0,,Open options
Week 9,,I Am McLaurvin,"(+) Trevor Lawrence JAX QB, (-) Jerome Ford CLE RB",$0,,Open options
Week 9,,Put that shi on,"(+) Tyler Bass BUF K, (-) Michael Wilson ARI WR",$0,,Open options
Week 9,,Nabers Think I'm Selli...,"(+) New Orleans Saints NO DEF, (-) Detroit Lions DET DEF",$0,,Open options
Week 9,,Pickens Cotton,(+) Tennessee Titans TEN DEF,$0,,Open options
Week 8,,Nabers Think I'm Selli...,"(+) Detroit Lions DET DEF, (-) Buffalo Bills BUF DEF",$0,,Open options
Week 8,,Remembering Tyreek Hill,"(+) Raheem Mostert MIA RB, (-) Philadelphia Eagles PHI DEF",$0,,Open options
Week 8,,Smell My Boutte,"(+) Jerry Jeudy CLE WR, (-) Cincinnati Bengals CIN DEF",$0,,Open options
Week 8,,Ruggs Race team,"(+) Los Angeles Chargers LAC DEF, (-) Detroit Lions DET DEF",$0,,Open options
Week 8,,Ruggs Race team,"(+) Ricky Pearsall SF WR, (-) Seattle Seahawks SEA DEF",$0,,Open options
Week 8,,Put that shi on,"(+) Russell Wilson PIT QB, (-) Sean Tucker TB RB",$0,,Open options
Week 8,,In Godwin We (no longe...,"(+) Quentin Johnston LAC WR, (-) Christian Kirk JAX WR",$0,,Open options
Week 8,,CeeDeez Nuts,"(+) Rashod Bateman BAL WR, (-) Gabriel Davis JAX WR",$0,,Open options
Week 8,,Nabers Think I'm Selli...,"(+) Jalen McMillan TB WR, (-) Antonio Gibson NE RB",$0,,Open options
Week 8,,In Godwin We (no longe...,"(+) Bo Nix DEN QB, (-) Daniel Jones NYG QB",$0,,Open options
Week 8,,DakStreet Boyz,"(+) Trey Palmer TB WR, (-) Darius Slayton NYG WR",$0,,Open options
Week 8,,Addison Rae,"(+) Washington Commanders WAS DEF, (-) Atlanta Falcons ATL DEF",$0,,Open options
Week 8,,In Godwin We (no longe...,"(+) Houston Texans HOU DEF, (-) Indianapolis Colts IND DEF",$0,,Open options
Week 8,,Half Chubb,"(+) Cedric Tillman CLE WR, (-) New England Patriots NE DEF",$0,,Open options
Week 8,,CeeDeez Nuts,"(+) Wil Lutz DEN K, (-) Tyler Bass BUF K",$0,,Open options
Week 7,,DakStreet Boyz,"(+) Romeo Doubs GB WR, (-) Tre Tucker LV WR",$0,,Open options
Week 7,,Remembering Tyreek Hill,(+) Hunter Henry NE TE,$0,,Open options
Week 7,,Smell My Boutte,"(+) Cincinnati Bengals CIN DEF, (-) Trey Sermon IND RB",$0,,Open options
Week 7,,Half Chubb,"(+) Cameron Dicker LAC K, (-) Cairo Santos CHI K",$0,,Open options
Week 7,,DakStreet Boyz,"(+) Isaac Guerendo SF RB, (-) Alexander Mattison LV RB",$0,,Open options
Week 7,,Put that shi on,"(+) JuJu Smith-Schuster KC WR, (-) Quentin Johnston LAC WR",$0,,Open options
Week 7,,Nabers Think I'm Selli...,"(+) Buffalo Bills BUF DEF, (-) Houston Texans HOU DEF",$0,,Open options
Week 7,,Put that shi on,"(+) Sean Tucker TB RB, (-) Colby Parkinson LAR TE",$0,,Open options
Week 7,,Pickens Cotton,(+) Christian Watson GB WR,$0,,Open options
Week 7,,Remembering Tyreek Hill,"(+) Drake Maye NE QB, (-) Tyjae Spears TEN RB",$0,,Open options
Week 7,,Half Chubb,"(+) New England Patriots NE DEF, (-) Mike Williams NYJ WR",$0,,Open options
Week 7,,DakStreet Boyz,"(+) Noah Fant SEA TE, (-) Jerry Jeudy CLE WR",$0,,Open options
Week 7,,I Am McLaurvin,"(+) Jake Elliott PHI K, (-) Dalton Schultz HOU TE",$0,,Open options
Week 7,,Ruggs Race team,"(+) Detroit Lions DET DEF, (-) Tampa Bay Buccaneers TB DEF",$0,,Open options
Week 7,,Remembering Tyreek Hill,"(+) Jake Elliott PHI K, (-) Matthew Wright FA K",$0,,Open options
Week 7,,Remembering Tyreek Hill,"(+) Brandon McManus GB K, (-) Jake Elliott PHI K",$0,,Open options
Week 7,,I Am McLaurvin,"(+) Alexander Mattison LV RB, (-) Roschon Johnson CHI RB",$0,,Open options
Week 7,,Smell My Boutte,(+) Trey Sermon IND RB,$0,,Open options
Week 7,,Remembering Tyreek Hill,"(+) Philadelphia Eagles PHI DEF, (-) Justin Fields PIT QB",$0,,Open options
Week 6,,Ruggs Race teamPickens Cotton,"(+) David Njoku CLE TE, (-) Devin Singletary NYG RB",$0,,Open options
Week 6,,Put that shi on,"(+) Quentin Johnston LAC WR, (-) Romeo Doubs GB WR",$0,,Open options
Week 6,,DakStreet Boyz,"(+) Kirk Cousins ATL QB, (-) Miami Dolphins MIA DEF",$0,,Open options
Week 6,,Pickens Cotton,"(+) Tyler Allgeier ATL RB, (-) Justice Hill BAL RB",$0,,Open options
Week 6,,Nabers Think I'm Selli...,"(+) Tank Bigsby JAX RB, (-) Trevor Lawrence JAX QB",$0,,Open options
Week 6,,CeeDeez Nuts,"(+) Tyler Bass BUF K, (-) Dallas Cowboys DAL DEF",$0,,Open options
Week 6,,Nabers Think I'm Selli...,"(+) Houston Texans HOU DEF, (-) New England Patriots NE DEF",$0,,Open options
Week 6,,Remembering Tyreek Hill,(+) Philadelphia Eagles PHI DEF,$0,,Open options
Week 6,,Put that shi on,"(+) Taysom Hill NO QB, (-) Greg Dortch ARI WR",$0,,Open options
Week 6,,I Am McLaurvin,"(+) Dalton Schultz HOU TE, (-) Cleveland Browns CLE DEF",$0,,Open options
Week 6,,I Am McLaurvin,"(+) Roschon Johnson CHI RB, (-) Adam Thielen CAR WR",$0,,Open options
Week 6,,Addison Rae,"(+) Jaleel McLaughlin DEN RB, (-) Trey Sermon IND RB",$0,,Open options
Week 6,,Put that shi on,(+) Michael Wilson ARI WR,$0,,Open options
Week 6,,Remembering Tyreek Hill,"(+) Matthew Wright FA K, (-) Xavier Legette CAR WR",$0,,Open options
Week 6,,Smell My Boutte,"(+) Trey Sermon IND RB, (-) Tyrone Tracy NYG RB",$0,,Open options
Week 6,,Addison Rae,"(+) Tyrone Tracy NYG RB, (-) New Orleans Saints NO DEF",$0,,Open options
Week 6,,DakStreet Boyz,"(+) Darius Slayton NYG WR, (-) Jake Elliott PHI K",$0,,Open options
