Week,Team,Score_2,Opponent,Score,Game_Type,Manage
Week 11,Nabers Think I'm Selli...,108.84,Ruggs Race team,102.68,,Open options
Week 11,Smell My Boutte,148.46,Remembering Tyreek Hill,114.64,,Open options
Week 10,Nabers Think I'm Selli...,130.98,Remembering Tyreek Hill,128.64,,Open options
Week 10,Put that shi on,71.78,Smell My Boutte,104.22,,Open options
Week 10,Ruggs Race team,143.28,Half Chubb,53.54,,Open options
Week 10,Addison Rae,98.84,CeeDeez Nuts,113.10,,Open options
Week 10,DakStreet Boyz,85.94,I Am McLaurvin,111.90,,Open options
Week 10,In Godwin We (no longe...,133.40,Pickens Cotton,138.82,,Open options
Week 9,Addison Rae,107.12,Smell My Boutte,113.98,,Open options
Week 9,Pickens Cotton,134.74,I Am McLaurvin,90.60,,Open options
Week 9,In Godwin We (no longe...,128.90,CeeDeez Nuts,113.30,,Open options
Week 9,DakStreet Boyz,136.98,Ruggs Race team,105.54,,Open options
Week 9,Half Chubb,124.54,Nabers Think I'm Selli...,108.80,,Open options
Week 9,Put that shi on,146.16,Remembering Tyreek Hill,134.34,,Open options
Week 8,Half Chubb,97.78,Remembering Tyreek Hill,120.98,,Open options
Week 8,CeeDeez Nuts,169.96,I Am McLaurvin,94.04,,Open options
Week 8,Ruggs Race team,146.30,Pickens Cotton,91.16,,Open options
Week 8,Smell My Boutte,137.70,In Godwin We (no longe...,149.78,,Open options
Week 8,Nabers Think I'm Selli...,136.04,DakStreet Boyz,109.24,,Open options
Week 8,Put that shi on,161.14,Addison Rae,114.74,,Open options
Week 7,Addison Rae,89.80,Remembering Tyreek Hill,114.14,,Open options
Week 7,CeeDeez Nuts,108.54,Ruggs Race team,108.14,,Open options
Week 7,I Am McLaurvin,103.92,Smell My Boutte,128.58,,Open options
Week 7,Pickens Cotton,129.14,Nabers Think I'm Selli...,96.16,,Open options
Week 7,In Godwin We (no longe...,113.86,Put that shi on,116.64,,Open options
Week 7,DakStreet Boyz,123.88,Half Chubb,129.60,,Open options
Week 6,Put that shi on,121.06,I Am McLaurvin,147.70,,Open options
Week 6,Smell My Boutte,92.90,Ruggs Race team,160.38,,Open options
Week 6,Nabers Think I'm Selli...,123.56,CeeDeez Nuts,102.52,,Open options
Week 6,Half Chubb,102.16,Pickens Cotton,96.02,,Open options
Week 6,Addison Rae,120.52,In Godwin We (no longe...,118.50,,Open options
Week 6,Remembering Tyreek Hill,120.60,DakStreet Boyz,106.22,,Open options
Week 5,Remembering Tyreek Hill,130.54,In Godwin We (no longe...,128.08,,Open options
Week 5,DakStreet Boyz,89.38,Pickens Cotton,110.66,,Open options
Week 5,Addison Rae,100.36,I Am McLaurvin,102.74,,Open options
Week 5,Half Chubb,137.90,CeeDeez Nuts,129.82,,Open options
Week 5,Ruggs Race team,136.84,Put that shi on,120.32,,Open options
Week 5,Nabers Think I'm Selli...,162.64,Smell My Boutte,101.56,,Open options
Week 4,Addison Rae,102.60,Ruggs Race team,86.40,,Open options
Week 4,Put that shi on,91.92,Nabers Think I'm Selli...,116.62,,Open options
Week 4,Half Chubb,111.78,Smell My Boutte,102.90,,Open options
Week 4,DakStreet Boyz,104.84,CeeDeez Nuts,108.24,,Open options
Week 4,In Godwin We (no longe...,104.74,I Am McLaurvin,123.00,,Open options
Week 4,Remembering Tyreek Hill,111.40,Pickens Cotton,145.78,,Open options
Week 3,In Godwin We (no longe...,100.60,Ruggs Race team,100.40,,Open options
Week 3,Put that shi on,130.86,Half Chubb,110.20,,Open options
Week 3,Nabers Think I'm Selli...,96.44,Addison Rae,145.14,,Open options
Week 3,Smell My Boutte,126.68,DakStreet Boyz,147.06,,Open options
Week 3,CeeDeez Nuts,105.28,Pickens Cotton,102.66,,Open options
Week 3,I Am McLaurvin,133.82,Remembering Tyreek Hill,106.38,,Open options
Week 2,I Am McLaurvin,87.36,Ruggs Race team,130.70,,Open options
Week 2,Addison Rae,107.64,Half Chubb,119.84,,Open options
Week 2,DakStreet Boyz,106.72,Put that shi on,141.04,,Open options
Week 2,In Godwin We (no longe...,111.54,Nabers Think I'm Selli...,106.92,,Open options
Week 2,Pickens Cotton,102.78,Smell My Boutte,130.46,,Open options
Week 2,Remembering Tyreek Hill,123.64,CeeDeez Nuts,130.28,,Open options
Week 1,Ruggs Race team,122.96,Remembering Tyreek Hill,120.94,,Open options
Week 1,Addison Rae,99.80,DakStreet Boyz,107.66,,Open options
Week 1,Half Chubb,131.78,In Godwin We (no longe...,122.66,,Open options
Week 1,Put that shi on,123.26,Pickens Cotton,135.86,,Open options
Week 1,Nabers Think I'm Selli...,84.82,I Am McLaurvin,126.38,,Open options
Week 1,Smell My Boutte,103.48,CeeDeez Nuts,114.72,,Open options
