Week,Team,Score_2,Opponent,Score,Game_Type,Manage
Week 17,Ruggs Race team,151.46,DakStreet Boyz,70.86,Consolation Game,Open options
Week 17,Smell My Boutte,109.98,Addison Rae,133.50,Consolation Game,Open options
Week 17,Put that shi on,169.88,Remembering Tyreek Hill,149.90,Consolation Game,Open options
Week 17,Nabers Think I'm Selli...,140.22,In Godwin We (no longe...,113.56,Playoff Game,Open options
Week 17,I Am McLaurvin,78.68,Pickens Cotton,127.78,Playoff Game,Open options
Week 17,CeeDeez Nuts,158.62,Half Chubb,113.58,Championship Game,Open options
Week 16,Put that shi on,145.22,Smell My Boutte,102.02,Consolation Game,Open options
Week 16,DakStreet Boyz,97.30,Addison Rae,116.88,Consolation Game,Open options
Week 16,Ruggs Race team,114.80,Remembering Tyreek Hill,138.14,Consolation Game,Open options
Week 16,In Godwin We (no longe...,170.12,Nabers Think I'm Selli...,95.34,Playoff Game,Open options
Week 16,Half Chubb,148.98,I Am McLaurvin,125.56,Playoff Game,Open options
Week 16,CeeDeez Nuts,132.48,Pickens Cotton,117.18,Playoff Game,Open options
Week 15,Pickens Cotton,142.34,Nabers Think I'm Selli...,115.40,Playoff Game,Open options
Week 15,In Godwin We (no longe...,126.60,I Am McLaurvin,161.88,Playoff Game,Open options
Week 15,Ruggs Race team,105.94,Put that shi on,183.24,Consolation Game,Open options
Week 15,DakStreet Boyz,103.28,Smell My Boutte,130.38,Consolation Game,Open options
Week 15,Addison Rae,85.16,Remembering Tyreek Hill,113.16,Consolation Game,Open options
Week 14,Half Chubb,141.28,Put that shi on,144.62,,Open options
Week 14,Addison Rae,136.34,Nabers Think I'm Selli...,137.02,,Open options
Week 14,DakStreet Boyz,102.32,Smell My Boutte,137.20,,Open options
Week 14,In Godwin We (no longe...,166.16,Ruggs Race team,125.84,,Open options
Week 14,Pickens Cotton,139.36,CeeDeez Nuts,109.80,,Open options
Week 14,Remembering Tyreek Hill,93.40,I Am McLaurvin,109.58,,Open options
Week 13,Put that shi on,115.44,DakStreet Boyz,116.72,,Open options
Week 13,Half Chubb,122.00,Addison Rae,111.26,,Open options
Week 13,Nabers Think I'm Selli...,106.32,In Godwin We (no longe...,97.76,,Open options
Week 13,Pickens Cotton,121.56,Smell My Boutte,129.86,,Open options
Week 13,Ruggs Race team,119.18,I Am McLaurvin,161.02,,Open options
Week 13,CeeDeez Nuts,142.88,Remembering Tyreek Hill,120.14,,Open options
Week 12,Half Chubb,137.20,In Godwin We (no longe...,152.32,,Open options
Week 12,DakStreet Boyz,128.62,Addison Rae,99.82,,Open options
Week 12,Pickens Cotton,98.26,Put that shi on,124.30,,Open options
Week 12,Nabers Think I'm Selli...,87.76,I Am McLaurvin,162.76,,Open options
Week 12,CeeDeez Nuts,139.28,Smell My Boutte,117.12,,Open options
Week 12,Remembering Tyreek Hill,92.56,Ruggs Race team,109.88,,Open options
Week 11,Put that shi on,111.14,CeeDeez Nuts,126.38,,Open options
Week 11,DakStreet Boyz,117.42,In Godwin We (no longe...,163.68,,Open options
Week 11,Addison Rae,77.96,Pickens Cotton,116.64,,Open options
Week 11,Half Chubb,146.44,I Am McLaurvin,108.08,,Open options
