Pick,Player,Team,Keeper,Note,Misc,Manage
1.1 (1),Tyreek Hill WR (MIA),Remembering Tyreek Hill,--,--,,Open options
1.2 (2),CeeDee Lamb WR (DAL),CeeDeez Nuts,--,--,,Open options
1.3 (3),Christian McCaffrey RB (SF),Pickens Cotton,--,--,,Open options
1.4 (4),Bijan Robinson RB (ATL),Ruggs Race team,--,--,,Open options
1.5 (5),Breece Hall RB (NYJ),DakStreet Boyz,--,--,,Open options
1.6 (6),Amon-Ra St. Brown WR (DET),Smell My Boutte,--,--,,Open options
1.7 (7),Ja'Marr Chase WR (CIN),Nabers Think I'm Selli...,--,--,,Open options
1.8 (8),Justin Jefferson WR (MIN),Half Chubb,--,--,,Open options
1.9 (9),Garrett Wilson WR (NYJ),Put that shi on,--,--,,Open options
1.10 (10),A.J. Brown WR (PHI),I Am McLaurvin,--,--,,Open options
1.11 (11),Jonathan Taylor RB (IND),Addison Rae,--,--,,Open options
1.12 (12),Saquon Barkley RB (PHI),In Godwin We (no longe...,--,--,,Open options
2.1 (13),Puka Nacua WR (LAR),In Godwin We (no longe...,--,--,,Open options
2.2 (14),Kyren Williams RB (LAR),Addison Rae,--,--,,Open options
2.3 (15),Isiah Pacheco RB (KC),I Am McLaurvin,--,--,,Open options
2.4 (16),Jahmyr Gibbs RB (DET),Put that shi on,--,--,,Open options
2.5 (17),Travis Etienne RB (JAX),Half Chubb,--,--,,Open options
2.6 (18),Michael Pittman WR (IND),Nabers Think I'm Selli...,--,--,,Open options
2.7 (19),Rachaad White RB (TB),Smell My Boutte,--,--,,Open options
2.8 (20),Derrick Henry RB (BAL),DakStreet Boyz,--,--,,Open options
2.9 (21),Joe Mixon RB (HOU),Ruggs Race team,--,--,,Open options
2.10 (22),Mike Evans WR (TB),Pickens Cotton,--,--,,Open options
2.11 (23),Chris Olave WR (NO),CeeDeez Nuts,--,--,,Open options
2.12 (24),Alvin Kamara RB (NO),Remembering Tyreek Hill,--,--,,Open options
3.1 (25),Marvin Harrison Jr. WR (ARI),Remembering Tyreek Hill,--,--,,Open options
3.2 (26),James Cook RB (BUF),CeeDeez Nuts,--,--,,Open options
3.3 (27),Nico Collins WR (HOU),Pickens Cotton,--,--,,Open options
3.4 (28),Drake London WR (ATL),Ruggs Race team,--,--,,Open options
3.5 (29),Davante Adams WR (LV),DakStreet Boyz,--,--,,Open options
3.6 (30),DK Metcalf WR (SEA),Smell My Boutte,--,--,,Open options
3.7 (31),Malik Nabers WR (NYG),Nabers Think I'm Selli...,--,--,,Open options
3.8 (32),Stefon Diggs WR (HOU),Half Chubb,--,--,,Open options
3.9 (33),De'Von Achane RB (MIA),Put that shi on,--,--,,Open options
3.10 (34),D.J. Moore WR (CHI),I Am McLaurvin,--,--,,Open options
3.11 (35),Deebo Samuel WR (SF),Addison Rae,--,--,,Open options
3.12 (36),Brandon Aiyuk WR (SF),In Godwin We (no longe...,--,--,,Open options
4.1 (37),Sam LaPorta TE (DET),In Godwin We (no longe...,--,--,,Open options
4.2 (38),Travis Kelce TE (KC),Addison Rae,--,--,,Open options
4.3 (39),Josh Allen QB (BUF),I Am McLaurvin,--,--,,Open options
4.4 (40),Josh Jacobs RB (GB),Put that shi on,--,--,,Open options
4.5 (41),Kenneth Walker III RB (SEA),Half Chubb,--,--,,Open options
4.6 (42),Jalen Hurts QB (PHI),Nabers Think I'm Selli...,--,--,,Open options
4.7 (43),DeVonta Smith WR (PHI),Smell My Boutte,--,--,,Open options
4.8 (44),Cooper Kupp WR (LAR),DakStreet Boyz,--,--,,Open options
4.9 (45),Calvin Ridley WR (TEN),Ruggs Race team,--,--,,Open options
4.10 (46),Aaron Jones RB (MIN),Pickens Cotton,--,--,,Open options
4.11 (47),Zay Flowers WR (BAL),CeeDeez Nuts,--,--,,Open options
4.12 (48),Tee Higgins WR (CIN),Remembering Tyreek Hill,--,--,,Open options
5.1 (49),Patrick Mahomes QB (KC),Remembering Tyreek Hill,--,--,,Open options
5.2 (50),Lamar Jackson QB (BAL),CeeDeez Nuts,--,--,,Open options
5.3 (51),Joe Burrow QB (CIN),Pickens Cotton,--,--,,Open options
5.4 (52),C.J. Stroud QB (HOU),Ruggs Race team,--,--,,Open options
5.5 (53),Dak Prescott QB (DAL),DakStreet Boyz,--,--,,Open options
5.6 (54),Anthony Richardson QB (IND),Smell My Boutte,--,--,,Open options
5.7 (55),Rhamondre Stevenson RB (NE),Nabers Think I'm Selli...,--,--,,Open options
5.8 (56),Jaylen Waddle WR (MIA),Half Chubb,--,--,,Open options
5.9 (57),Rashee Rice WR (KC),Put that shi on,--,--,,Open options
5.10 (58),Evan Engram TE (JAX),I Am McLaurvin,--,--,,Open options
5.11 (59),Amari Cooper WR (CLE),Addison Rae,--,--,,Open options
5.12 (60),Chris Godwin WR (TB),In Godwin We (no longe...,--,--,,Open options
6.1 (61),James Conner RB (ARI),In Godwin We (no longe...,--,--,,Open options
6.2 (62),Jordan Love QB (GB),Addison Rae,--,--,,Open options
6.3 (63),David Montgomery RB (DET),I Am McLaurvin,--,--,,Open options
6.4 (64),Trey McBride TE (ARI),Put that shi on,--,--,,Open options
6.5 (65),Kyler Murray QB (ARI),Half Chubb,--,--,,Open options
6.6 (66),D'Andre Swift RB (CHI),Nabers Think I'm Selli...,--,--,,Open options
6.7 (67),Zamir White RB (LV),Smell My Boutte,--,--,,Open options
6.8 (68),Keenan Allen WR (CHI),DakStreet Boyz,--,--,,Open options
6.9 (69),George Kittle TE (SF),Ruggs Race team,--,--,,Open options
6.10 (70),George Pickens WR (PIT),Pickens Cotton,--,--,,Open options
6.11 (71),Dalton Kincaid TE (BUF),CeeDeez Nuts,--,--,,Open options
6.12 (72),Mark Andrews TE (BAL),Remembering Tyreek Hill,--,--,,Open options
7.1 (73),Tank Dell WR (HOU),Remembering Tyreek Hill,--,--,,Open options
7.2 (74),Tony Pollard RB (TEN),CeeDeez Nuts,--,--,,Open options
7.3 (75),David Njoku TE (CLE),Pickens Cotton,--,--,,Open options
7.4 (76),Najee Harris RB (PIT),Ruggs Race team,--,--,,Open options
7.5 (77),Jake Ferguson TE (DAL),DakStreet Boyz,--,--,,Open options
7.6 (78),Kyle Pitts TE (ATL),Smell My Boutte,--,--,,Open options
7.7 (79),Diontae Johnson WR (CAR),Nabers Think I'm Selli...,--,--,,Open options
7.8 (80),Jaxon Smith-Njigba WR (SEA),Half Chubb,--,--,,Open options
7.9 (81),Jayden Daniels QB (WAS),Put that shi on,--,--,,Open options
7.10 (82),Terry McLaurin WR (WAS),I Am McLaurvin,--,--,,Open options
7.11 (83),Jordan Addison WR (MIN),Addison Rae,--,--,,Open options
7.12 (84),Christian Kirk WR (JAX),In Godwin We (no longe...,--,--,,Open options
8.1 (85),Brian Robinson RB (WAS),In Godwin We (no longe...,--,--,,Open options
8.2 (86),Justin Tucker K (BAL),Addison Rae,--,--,,Open options
8.3 (87),Jayden Reed WR (GB),I Am McLaurvin,--,--,,Open options
8.4 (88),Keon Coleman WR (BUF),Put that shi on,--,--,,Open options
8.5 (89),Brock Bowers TE (LV),Half Chubb,--,--,,Open options
8.6 (90),Javonte Williams RB (DEN),Nabers Think I'm Selli...,--,--,,Open options
8.7 (91),Jaylen Warren RB (PIT),Smell My Boutte,--,--,,Open options
8.8 (92),Raheem Mostert RB (MIA),DakStreet Boyz,--,--,,Open options
8.9 (93),Xavier Worthy WR (KC),Ruggs Race team,--,--,,Open options
8.10 (94),Rome Odunze WR (CHI),Pickens Cotton,--,--,,Open options
8.11 (95),Ladd McConkey WR (LAC),CeeDeez Nuts,--,--,,Open options
8.12 (96),Zack Moss RB (CIN),Remembering Tyreek Hill,--,--,,Open options
9.1 (97),Tyjae Spears RB (TEN),Remembering Tyreek Hill,--,--,,Open options
9.2 (98),Ezekiel Elliott RB (DAL),CeeDeez Nuts,--,--,,Open options
9.3 (99),Austin Ekeler RB (WAS),Pickens Cotton,--,--,,Open options
9.4 (100),Devin Singletary RB (NYG),Ruggs Race team,--,--,,Open options
9.5 (101),Courtland Sutton WR (DEN),DakStreet Boyz,--,--,,Open options
9.6 (102),Christian Watson WR (GB),Smell My Boutte,--,--,,Open options
9.7 (103),Jonathon Brooks RB (CAR),Nabers Think I'm Selli...,--,--,,Open options
9.8 (104),Nick Chubb RB (CLE),Half Chubb,--,--,,Open options
9.9 (105),Chase Brown RB (CIN),Put that shi on,--,--,,Open options
9.10 (106),Jerome Ford RB (CLE),I Am McLaurvin,--,--,,Open options
9.11 (107),Tyler Lockett WR (SEA),Addison Rae,--,--,,Open options
9.12 (108),Jakobi Meyers WR (LV),In Godwin We (no longe...,--,--,,Open options
10.1 (109),Chuba Hubbard RB (CAR),In Godwin We (no longe...,--,--,,Open options
10.2 (110),J.K. Dobbins RB (LAC),Addison Rae,--,--,,Open options
10.3 (111),Adam Thielen WR (CAR),I Am McLaurvin,--,--,,Open options
10.4 (112),Blake Corum RB (LAR),Put that shi on,--,--,,Open options
10.5 (113),Mike Williams WR (NYJ),Half Chubb,--,--,,Open options
10.6 (114),T.J. Hockenson TE (MIN),Nabers Think I'm Selli...,--,--,,Open options
10.7 (115),Brock Purdy QB (SF),Smell My Boutte,--,--,,Open options
10.8 (116),Jerry Jeudy WR (CLE),DakStreet Boyz,--,--,,Open options
10.9 (117),Demario Douglas WR (NE),Ruggs Race team,--,--,,Open options
10.10 (118),DeAndre Hopkins WR (TEN),Pickens Cotton,--,--,,Open options
10.11 (119),Brian Thomas Jr. WR (JAX),CeeDeez Nuts,--,--,,Open options
10.12 (120),Gus Edwards RB (LAC),Remembering Tyreek Hill,--,--,,Open options
11.1 (121),Jameson Williams WR (DET),Remembering Tyreek Hill,--,--,,Open options
11.2 (122),Darnell Mooney WR (ATL),CeeDeez Nuts,--,--,,Open options
11.3 (123),Tyler Allgeier RB (ATL),Pickens Cotton,--,--,,Open options
11.4 (124),Dallas Goedert TE (PHI),Ruggs Race team,--,--,,Open options
11.5 (125),Khalil Shakir WR (BUF),DakStreet Boyz,--,--,,Open options
11.6 (126),Marquise Brown WR (KC),Smell My Boutte,--,--,,Open options
