Team/Member,Username,Rival,Record,Points Scored,Points Against,Inseason Rank,Final Rank,Misc,Manage
CeeDeez Nuts,ESPNFAN5026324261,---,10-4,"1,714.10","1,613.76",1,1,,Open options
Half Chubb,Jack56518,---,9-5,"1,666.04","1,703.12",2,2,,Open options
Pickens Cotton,ESPNfan2157928003,---,8-6,"1,663.44","1,570.32",4,3,,Open options
I Am McLaurvin,Diesel85pass,---,9-5,"1,662.90","1,614.06",3,4,,Open options
Nabers Think I'm Selling Dope,colbysprague1,---,8-6,"1,602.92","1,670.16",5,5,,Open options
In Godwin We (no longer trust),Geoffrey121920011219,---,7-7,"1,791.98","1,706.40",6,6,,Open options
Put that shi on,wsibble,---,7-7,"1,719.68","1,703.74",7,7,,Open options
Remembering Tyreek Hill,ESPNfan4105641903,---,4-10,"1,632.34","1,742.66",11,8,,Open options
Addison Rae,dg10sox,---,3-11,"1,511.94","1,638.22",12,9,,Open options
Smell My Boutte,ESPNfan4482064991,---,7-7,"1,675.10","1,709.76",9,10,,Open options
Ruggs Race team,espn58351799,---,7-7,"1,698.52","1,543.52",8,11,,Open options
DakStreet Boyz,ESPNFAN5617785783,---,5-9,"1,583.00","1,706.24",10,12,,Open options
