Week,Team,Score_2,Opponent,Score,Game_Type,Manage
Week 16,Team Sprague,91.78,Patty Mahorny,181.62,Championship Game,Open options
Week 16,Glizzy Gladiator,166.54,Suck My  Chubb,169.14,Playoff Game,Open options
Week 16,Lamarvel Cinematic,70.92,Tinder Girls  ,127.16,Playoff Game,Open options
Week 16,Adventure's  of Dak,131.90,Team Tony,138.38,Consolation Game,Open options
Week 16,Team Rivers,66.60,Team Infantino,85.14,Consolation Game,Open options
Week 15,Team Rivers,81.44,Adventure's  of Dak,120.86,Consolation Game,Open options
Week 15,Team Tony,139.70,Team Infantino,119.96,Consolation Game,Open options
Week 15,Tinder Girls  ,104.42,Lamarvel Cinematic,86.02,Playoff Game,Open options
Week 15,Team Sprague,167.14,Suck My  Chubb,109.12,Playoff Game,Open options
Week 15,Patty Mahorny,132.56,Glizzy Gladiator,118.44,Playoff Game,Open options
Week 14,Tinder Girls  ,117.76,Glizzy Gladiator,124.34,Playoff Game,Open options
Week 14,Lamarvel Cinematic,119.22,Suck My  Chubb,136.50,Playoff Game,Open options
Week 14,Adventure's  of Dak,77.42,Team Tony,144.08,Consolation Game,Open options
Week 14,Team Rivers,74.36,Team Infantino,83.10,Consolation Game,Open options
Week 13,Team Sprague,191.42,Adventure's  of Dak,105.60,,Open options
Week 13,Glizzy Gladiator,122.52,Lamarvel Cinematic,112.68,,Open options
Week 13,Team Infantino,26.20,Patty Mahorny,117.62,,Open options
Week 13,Tinder Girls  ,141.74,Team Rivers,88.82,,Open options
Week 13,Suck My  Chubb,143.00,Team Tony,138.32,,Open options
Week 12,Patty Mahorny,171.38,Team Tony,134.14,,Open options
Week 12,Glizzy Gladiator,93.40,Tinder Girls  ,185.82,,Open options
Week 12,Lamarvel Cinematic,103.56,Adventure's  of Dak,72.00,,Open options
Week 12,Team Sprague,135.60,Team Infantino,82.00,,Open options
Week 12,Suck My  Chubb,132.70,Team Rivers,66.30,,Open options
Week 11,Lamarvel Cinematic,117.24,Team Infantino,87.90,,Open options
Week 11,Suck My  Chubb,150.44,Patty Mahorny,138.62,,Open options
Week 11,Glizzy Gladiator,137.20,Team Rivers,90.54,,Open options
Week 11,Team Sprague,115.16,Team Tony,127.48,,Open options
Week 11,Adventure's  of Dak,89.44,Tinder Girls  ,117.06,,Open options
Week 10,Lamarvel Cinematic,124.86,Tinder Girls  ,110.02,,Open options
Week 10,Adventure's  of Dak,84.86,Team Rivers,8.40,,Open options
Week 10,Suck My  Chubb,123.80,Team Sprague,111.80,,Open options
Week 10,Team Infantino,89.74,Team Tony,113.32,,Open options
Week 10,Patty Mahorny,117.02,Glizzy Gladiator,112.02,,Open options
Week 9,Tinder Girls  ,128.84,Team Tony,121.24,,Open options
Week 9,Team Sprague,151.22,Patty Mahorny,138.48,,Open options
Week 9,Adventure's  of Dak,120.20,Glizzy Gladiator,97.80,,Open options
Week 9,Suck My  Chubb,75.26,Team Infantino,66.38,,Open options
Week 9,Team Rivers,71.66,Lamarvel Cinematic,106.90,,Open options
Week 8,Team Sprague,75.34,Tinder Girls  ,101.84,,Open options
Week 8,Team Tony,130.12,Glizzy Gladiator,127.64,,Open options
Week 8,Patty Mahorny,200.34,Lamarvel Cinematic,110.22,,Open options
Week 8,Team Infantino,82.90,Team Rivers,98.34,,Open options
Week 8,Suck My  Chubb,97.34,Adventure's  of Dak,106.12,,Open options
Week 7,Patty Mahorny,129.60,Team Rivers,51.82,,Open options
