Week,Team,Score_2,Opponent,Score,Game_Type,Manage
Week 7,Team Infantino,97.08,Adventure's  of Dak,93.58,,Open options
Week 7,Team Tony,159.62,Lamarvel Cinematic,109.52,,Open options
Week 7,Team Sprague,171.40,Glizzy Gladiator,128.02,,Open options
Week 7,Suck My  Chubb,109.46,Tinder Girls  ,103.16,,Open options
Week 6,Team Infantino,80.20,Tinder Girls  ,127.30,,Open options
Week 6,Suck My  Chubb,99.94,Glizzy Gladiator,117.54,,Open options
Week 6,Lamarvel Cinematic,108.54,Team Sprague,132.72,,Open options
Week 6,Team Tony,95.68,Team Rivers,119.84,,Open options
Week 6,Patty Mahorny,127.40,Adventure's  of Dak,97.38,,Open options
Week 5,Adventure's  of Dak,86.92,Team Tony,126.26,,Open options
Week 5,Lamarvel Cinematic,102.82,Glizzy Gladiator,146.78,,Open options
Week 5,Suck My  Chubb,150.82,Team Infantino,90.60,,Open options
Week 5,Team Rivers,59.94,Tinder Girls  ,110.66,,Open options
Week 5,Team Sprague,153.50,Patty Mahorny,140.90,,Open options
Week 4,Team Infantino,101.94,Patty Mahorny,124.74,,Open options
Week 4,Tinder Girls  ,115.80,Glizzy Gladiator,142.70,,Open options
Week 4,Adventure's  of Dak,85.62,Lamarvel Cinematic,163.22,,Open options
Week 4,Team Tony,112.62,Suck My  Chubb,125.68,,Open options
Week 4,Team Sprague,124.52,Team Rivers,45.40,,Open options
Week 3,Lamarvel Cinematic,99.68,Suck My  Chubb,137.12,,Open options
Week 3,Team Sprague,130.10,Team Infantino,130.52,,Open options
Week 3,Team Rivers,50.52,Glizzy Gladiator,158.80,,Open options
Week 3,Team Tony,155.98,Patty Mahorny,180.00,,Open options
Week 3,Adventure's  of Dak,149.44,Tinder Girls  ,108.76,,Open options
Week 2,Suck My  Chubb,135.48,Patty Mahorny,144.58,,Open options
Week 2,Team Rivers,85.92,Adventure's  of Dak,124.20,,Open options
Week 2,Team Sprague,185.84,Team Tony,97.68,,Open options
Week 2,Lamarvel Cinematic,89.46,Tinder Girls  ,113.70,,Open options
Week 2,Team Infantino,91.38,Glizzy Gladiator,192.82,,Open options
Week 1,Patty Mahorny,157.24,Tinder Girls  ,94.62,,Open options
Week 1,Team Infantino,120.00,Team Tony,119.60,,Open options
Week 1,Glizzy Gladiator,124.38,Adventure's  of Dak,99.24,,Open options
Week 1,Suck My  Chubb,111.76,Team Sprague,159.80,,Open options
Week 1,Lamarvel Cinematic,129.70,Team Rivers,102.40,,Open options
