Transaction At,Type,Team,Transaction,FAAB,Misc,Manage
Week 16,,Patty Mahorny,"(+) George Kittle   SF   TE, (-) Wayne Gallman   NYG   RB",$0,,Open options
Week 16,,Team Tony,"(+) Jalen Hurts   PHI   QB, (-) Taysom Hill   NO   QB",$0,,Open options
Week 16,,Suck My  Chubb,"(+) Cleveland Browns   CLE   DEF, (-) Seattle Seahawks   SEA   DEF",$0,,Open options
Week 15,,Glizzy Gladiator,"(+) T.Y. Hilton   IND   WR, (-) Kalen Ballage   FA   RB",$0,,Open options
Week 15,,Patty Mahorny,"(+) Jeffery Wilson   FA   RB, (-) James Conner   PIT   RB",$0,,Open options
Week 14,,Patty Mahorny,"(+) Tyler Bass   BUF   K, (-) Wil Lutz   NO   K",$0,,Open options
Week 14,,Team Tony,"(+) Los Angeles Rams   LAR   DEF, (-) Green Bay Packers   GB   DEF",$0,,Open options
Week 14,,Lamarvel Cinematic,(+) David Johnson   HOU   RB,$0,,Open options
Week 14,,Lamarvel Cinematic,(+) Corey Davis   TEN   WR,$0,,Open options
Week 14,,Patty Mahorny,"(+) Brandon Aiyuk   SF   WR, (-) Devontae Booker   LV   RB",$0,,Open options
Week 14,,Glizzy Gladiator,"(+) San Francisco 49ers   SF   DEF, (-) Cleveland Browns   CLE   DEF",$0,,Open options
Week 13,,Suck My  Chubb,"(+) Myles Gaskin   MIA   RB, (-) Washington Commanders   WAS   DEF",$0,,Open options
Week 13,,Team Sprague,(+) Robert Tonyan   MIN   TE,$0,,Open options
Week 13,,Suck My  Chubb,"(+) Seattle Seahawks   SEA   DEF, (-) Philadelphia Eagles   PHI   DEF",$0,,Open options
Week 13,,Patty Mahorny,"(+) Devontae Booker   LV   RB, (-) Duke Johnson   HOU   RB",$0,,Open options
Week 13,,Adventure's  of Dak,"(+) Las Vegas Raiders   LV   DEF, (-) Tampa Bay Buccaneers   TB   DEF",$0,,Open options
Week 13,,Team Tony,"(+) Jason Myers   SEA   K, (-) Joey Slye   CAR   K",$0,,Open options
Week 12,,Team Tony,"(+) Taysom Hill   NO   QB, (-) Carson Wentz   PHI   QB",$0,,Open options
Week 12,,Suck My  Chubb,"(+) Salvon Ahmed   IND   RB, (-) Leonard Fournette   TB   RB",$0,,Open options
Week 12,,Patty Mahorny,"(+) Wayne Gallman   NYG   RB, (-) Latavius Murray   NO   RB",$0,,Open options
Week 12,,Patty Mahorny,"(+) Jared Goff   LAR   QB, (-) Joe Burrow   CIN   QB",$0,,Open options
Week 12,,Patty Mahorny,"(+) Austin Ekeler   LAC   RB, (-) Chase Edmonds   ARI   RB",$0,,Open options
Week 12,,Glizzy Gladiator,"(+) Michael Pittman   IND   WR, (-) Brandon Aiyuk   SF   WR",$0,,Open options
Week 12,,Glizzy Gladiator,"(+) Cleveland Browns   CLE   DEF, (-) Minnesota Vikings   MIN   DEF",$0,,Open options
Week 12,,Glizzy Gladiator,"(+) Deebo Samuel   SF   WR, (-) Taysom Hill   NO   QB",$0,,Open options
Week 11,,Glizzy Gladiator,"(+) Kalen Ballage   FA   RB, (-) Corey Davis   TEN   WR",$0,,Open options
Week 11,,Suck My  Chubb,"(+) Damien Harris   FA   RB, (-) Le'Veon Bell   NYJ   RB",$0,,Open options
Week 11,,Patty Mahorny,"(+) Latavius Murray   NO   RB, (-) Sterling Shepard   NYG   WR",$0,,Open options
Week 11,,Tinder Girls  ,"(+) Miami Dolphins   MIA   DEF, (-) Jordan Howard   MIA   RB",$0,,Open options
Week 11,,Team Sprague,"(+) Indianapolis Colts   IND   DEF, (-) Tennessee Titans   TEN   DEF",$0,,Open options
Week 11,,Glizzy Gladiator,"(+) Minnesota Vikings   MIN   DEF, (-) James White   NE   RB",$0,,Open options
Week 11,,Adventure's  of Dak,"(+) Logan Thomas   WAS   TE, (-) Jimmy Graham   CHI   TE",$0,,Open options
Week 11,,Glizzy Gladiator,(+) Taysom Hill   NO   QB,$0,,Open options
Week 10,,Glizzy Gladiator,"(+) Brandon Aiyuk   SF   WR, (-) Damien Harris   FA   RB",$0,,Open options
Week 10,,Team Sprague,"(+) Matt Prater   DET   K, (-) Darrell Henderson   LAR   RB",$0,,Open options
Week 10,,Lamarvel Cinematic,"(+) Malcolm Brown   LAR   RB, (-) David Johnson   HOU   RB",$0,,Open options
Week 10,,Adventure's  of Dak,(+) Giovani Bernard   CIN   RB,$0,,Open options
Week 10,,Patty Mahorny,"(+) Duke Johnson   HOU   RB, (-) A.J. Green   CIN   WR",$0,,Open options
Week 10,,Patty Mahorny,"(+) Curtis Samuel   CAR   WR, (-) Randy Bullock   CIN   K",$0,,Open options
Week 10,,Tinder Girls  ,(+) Eric Ebron   PIT   TE,$0,,Open options
Week 10,,Tinder Girls  ,"(+) Daniel Carlson   LV   K, (-) George Kittle   SF   TE",$0,,Open options
Week 10,,Team Tony,"(+) Green Bay Packers   GB   DEF, (-) Kansas City Chiefs   KC   DEF",$0,,Open options
Week 10,,Tinder Girls  ,"(+) New Orleans Saints   NO   DEF, (-) San Francisco 49ers   SF   DEF",$0,,Open options
Week 10,,Adventure's  of Dak,(+) Jakobi Meyers   LV   WR,$0,,Open options
Week 9,,Patty Mahorny,"(+) Wil Lutz   NO   K, (-) Giovani Bernard   CIN   RB",$0,,Open options
Week 9,,Glizzy Gladiator,"(+) Brandon Aiyuk   SF   WR, (-) Jamaal Williams   GB   RB",$0,,Open options
Week 9,,Suck My  Chubb,"(+) Washington Commanders   WAS   DEF, (-) Julian Edelman   NE   WR",$0,,Open options
Week 9,,Glizzy Gladiator,"(+) Damien Harris   FA   RB, (-) Los Angeles Rams   LAR   DEF",$0,,Open options
Week 9,,Glizzy Gladiator,"(+) Corey Davis   TEN   WR, (-) Brandon Aiyuk   SF   WR",$0,,Open options
Week 9,,Adventure's  of Dak,(+) Mike Williams   LAC   WR,$0,,Open options
Week 9,,Glizzy Gladiator,"(+) JaMycal Hasty   NE   RB, (-) Boston Scott   PHI   RB",$0,,Open options
Week 9,,Patty Mahorny,"(+) Sterling Shepard   NYG   WR, (-) CeeDee Lamb   DAL   WR",$0,,Open options
Week 9,,Tinder Girls  ,"(+) DeeJay Dallas   ARI   RB, (-) T.Y. Hilton   IND   WR",$0,,Open options
Week 8,,Glizzy Gladiator,"(+) Boston Scott   PHI   RB, (-) Brandon McManus   DEN   K",$0,,Open options
Week 8,,Team Sprague,"(+) JaMycal Hasty   NE   RB, (-) Rodrigo Blankenship   IND   K",$0,,Open options
Week 8,,Patty Mahorny,"(+) Giovani Bernard   CIN   RB, (-) D.J. Chark   JAX   WR",$0,,Open options
Week 8,,Patty Mahorny,"(+) A.J. Green   CIN   WR, (-) Jerry Jeudy   DEN   WR",$0,,Open options
Week 8,,Patty Mahorny,"(+) Dallas Goedert   PHI   TE, (-) Robert Tonyan   MIN   TE",$0,,Open options
Week 8,,Team Tony,"(+) Joey Slye   CAR   K, (-) Zane Gonzalez   ARI   K",$0,,Open options
Week 8,,Suck My  Chubb,"(+) Diontae Johnson   PIT   WR, (-) Graham Gano   NYG   K",$0,,Open options
Week 8,,Team Sprague,"(+) Derek Carr   LV   QB, (-) Alexander Mattison   MIN   RB",$0,,Open options
Week 8,,Suck My  Chubb,"(+) Leonard Fournette   TB   RB, (-) Devonta Freeman   FA   RB",$0,,Open options
Week 8,,Team Sprague,"(+) Tennessee Titans   TEN   DEF, (-) New York Giants   NYG   DEF",$0,,Open options
Week 8,,Team Tony,"(+) Kansas City Chiefs   KC   DEF, (-) Washington Commanders   WAS   DEF",$0,,Open options
Week 8,,Team Sprague,"(+) J.K. Dobbins   BAL   RB, (-) JaMycal Hasty   NE   RB",$0,,Open options
Week 7,,Glizzy Gladiator,"(+) Los Angeles Rams   LAR   DEF, (-) Larry Fitzgerald   ARI   WR",$0,,Open options
Week 7,,Team Sprague,"(+) Younghoe Koo   ATL   K, (-) Laviska Shenault   JAX   WR",$0,,Open options
Week 7,,Patty Mahorny,"(+) Robert Tonyan   MIN   TE, (-) Russell Gage   ATL   WR",$0,,Open options
Week 7,,Suck My  Chubb,"(+) Philadelphia Eagles   PHI   DEF, (-) Indianapolis Colts   IND   DEF",$0,,Open options
Week 7,,Patty Mahorny,"(+) Antonio Brown   FA   WR, (-) J.K. Dobbins   BAL   RB",$0,,Open options
Week 7,,Adventure's  of Dak,(+) Travis Fulgham   FA   WR,$0,,Open options
Week 7,,Glizzy Gladiator,"(+) Brandon McManus   DEN   K, (-) Mecole Hardman   KC   WR",$0,,Open options
Week 7,,Suck My  Chubb,"(+) Graham Gano   NYG   K, (-) Phillip Lindsay   DEN   RB",$0,,Open options
Week 7,,Adventure's  of Dak,(+) Justin Herbert   LAC   QB,$0,,Open options
Week 7,,Team Sprague,"(+) New York Giants   NYG   DEF, (-) Jordan Akins   HOU   TE",$0,,Open options
Week 7,,Adventure's  of Dak,(+) J.D. McKissic   WAS   RB,$0,,Open options
Week 7,,Glizzy Gladiator,"(+) Jamaal Williams   GB   RB, (-) Emmanuel Sanders   NO   WR",$0,,Open options
Week 7,,Team Tony,"(+) Joshua Kelley   LAC   RB, (-) Diontae Johnson   PIT   WR",$0,,Open options
Week 7,,Adventure's  of Dak,"(+) Jimmy Graham   CHI   TE, (-) Tyler Higbee   LAR   TE",$0,,Open options
Week 7,,Adventure's  of Dak,(+) Justin Jackson   LAC   RB,$0,,Open options
Week 6,,Suck My  Chubb,"(+) Chase Claypool   PIT   WR, (-) N'Keal Harry   NE   WR",$0,,Open options
Week 6,,Lamarvel Cinematic,"(+) Tee Higgins   CIN   WR, (-) Sammy Watkins   KC   WR",$0,,Open options
Week 6,,Adventure's  of Dak,"(+) Ryan Fitzpatrick   MIA   QB, (-) Austin Ekeler   LAC   RB",$0,,Open options
Week 6,,Team Sprague,"(+) Jordan Akins   HOU   TE, (-) Chicago Bears   CHI   DEF",$0,,Open options
Week 6,,Suck My  Chubb,"(+) Devonta Freeman   FA   RB, (-) Sterling Shepard   NYG   WR",$0,,Open options
Week 6,,Suck My  Chubb,"(+) Jason Sanders   MIA   K, (-) Wil Lutz   NO   K",$0,,Open options
Week 6,,Team Tony,"(+) Austin Hooper   CLE   TE, (-) Mark Ingram   BAL   RB",$0,,Open options
Week 6,,Patty Mahorny,"(+) Chase Edmonds   ARI   RB, (-) Joshua Kelley   LAC   RB",$0,,Open options
Week 6,,Adventure's  of Dak,(+) Austin Ekeler   LAC   RB,$0,,Open options
Week 6,,Glizzy Gladiator,"(+) Ryan Tannehill   TEN   QB, (-) Cleveland Browns   CLE   DEF",$0,,Open options
Week 6,,Team Tony,"(+) Washington Commanders   WAS   DEF, (-) New Orleans Saints   NO   DEF",$0,,Open options
Week 5,,Team Sprague,"(+) Justin Jefferson   MIN   WR, (-) A.J. Green   CIN   WR",$0,,Open options
Week 5,,Patty Mahorny,"(+) Pittsburgh Steelers   PIT   DEF, (-) Marquez Valdes-Scantling   GB   WR",$0,,Open options
Week 5,,Adventure's  of Dak,"(+) Stephen Gostkowski   TEN   K, (-) Matt Prater   DET   K",$0,,Open options
Week 5,,Patty Mahorny,"(+) Joshua Kelley   LAC   RB, (-) Los Angeles Rams   LAR   DEF",$0,,Open options
Week 5,,Patty Mahorny,"(+) Randy Bullock   CIN   K, (-) Jake Elliott   PHI   K",$0,,Open options
Week 4,,Tinder Girls  ,"(+) Rex Burkhead   NE   RB, (-) J.J. Taylor   NE   RB",$0,,Open options
Week 4,,Patty Mahorny,"(+) Greg Olsen   SEA   TE, (-) Dallas Goedert   PHI   TE",$0,,Open options
Week 4,,Adventure's  of Dak,"(+) Myles Gaskin   MIA   RB, (-) Joshua Kelley   LAC   RB",$0,,Open options
Week 4,,Patty Mahorny,"(+) Los Angeles Rams   LAR   DEF, (-) Greg Olsen   SEA   TE",$0,,Open options
Week 4,,Patty Mahorny,"(+) Marquez Valdes-Scantling   GB   WR, (-) Pittsburgh Steelers   PIT   DEF",$0,,Open options
Week 4,,Adventure's  of Dak,"(+) Jerick McKinnon   SF   RB, (-) Willie Snead   BAL   WR",$0,,Open options
Week 3,,Glizzy Gladiator,"(+) Mike Gesicki   MIA   TE, (-) Austin Hooper   CLE   TE",$0,,Open options
Week 3,,Patty Mahorny,"(+) Russell Gage   ATL   WR, (-) Parris Campbell   IND   WR",$0,,Open options
Week 3,,Team Sprague,"(+) James Robinson   JAX   RB, (-) Zack Moss   BUF   RB",$0,,Open options
Week 3,,Suck My  Chubb,"(+) Mike Davis   FA   RB, (-) Chris Thompson   JAX   RB",$0,,Open options
Week 3,,Team Sprague,(+) Laviska Shenault   JAX   WR,$0,,Open options
Week 3,,Tinder Girls  ,"(+) Jonnu Smith   TEN   TE, (-) Chris Herndon   NYJ   TE",$0,,Open options
Week 3,,Adventure's  of Dak,"(+) Joshua Kelley   LAC   RB, (-) Adrian Peterson   DET   RB",$0,,Open options
Week 3,,Glizzy Gladiator,(+) Cleveland Browns   CLE   DEF,$0,,Open options
Week 2,,Patty Mahorny,"(+) Dallas Goedert   PHI   TE, (-) Golden Tate   FA   WR",$0,,Open options
Week 2,,Adventure's  of Dak,"(+) Malcolm Brown   LAR   RB, (-) Marlon Mack   IND   RB",$0,,Open options
Week 2,,Tinder Girls  ,"(+) J.J. Taylor   NE   RB, (-) Duke Johnson   HOU   RB",$0,,Open options
Week 2,,Team Sprague,"(+) Arizona Cardinals   ARI   DEF, (-) Minnesota Vikings   MIN   DEF",$0,,Open options
Week 2,,Adventure's  of Dak,"(+) Willie Snead   BAL   WR, (-) Justin Jefferson   MIN   WR",$0,,Open options
Week 2,,Tinder Girls  ,"(+) Chris Herndon   NYJ   TE, (-) Jack Doyle   IND   TE",$0,,Open options
Week 2,,Adventure's  of Dak,(+) Adrian Peterson   DET   RB,$0,,Open options
Week 1,,Team Tony,"(+) Ben Roethlisberger   PIT   QB, (-) Breshad Perriman   NYJ   WR",$0,,Open options
