Week,Team,Score_2,Opponent,Score,Game_Type,Manage
Week 17,Adrian BeatHisSon,102.40,Etienne Tenie,120.52,Consolation Game,Open options
Week 17,Deshauns Legal Team,118.20,Ruggs Race team,99.24,Consolation Game,Open options
Week 17,Ceedeez Nutz,95.88,First Down-Syndrome,133.86,Consolation Game,Open options
Week 17,Olave Garden,98.76,Bijan Robinzyn,106.66,Playoff Game,Open options
Week 17,Kelce Ya Later,75.84,King of the Hill,150.24,Playoff Game,Open options
Week 17,Obi-Wan-Mahomie,95.10,Everybody Hurts,139.68,Championship Game,Open options
Week 16,Deshauns Legal Team,93.12,Ceedeez Nutz,129.10,Consolation Game,Open options
Week 16,Etienne Tenie,75.50,Ruggs Race team,130.14,Consolation Game,Open options
Week 16,Adrian BeatHisSon,115.94,First Down-Syndrome,119.28,Consolation Game,Open options
Week 16,Bijan Robinzyn,83.54,Olave Garden,129.62,Playoff Game,Open options
Week 16,Obi-Wan-Mahomie,122.80,King of the Hill,109.18,Playoff Game,Open options
Week 16,Kelce Ya Later,73.08,Everybody Hurts,121.54,Playoff Game,Open options
Week 15,Everybody Hurts,150.82,Bijan Robinzyn,120.78,Playoff Game,Open options
Week 15,King of the Hill,130.34,Olave Garden,87.14,Playoff Game,Open options
Week 15,Deshauns Legal Team,100.66,Adrian BeatHisSon,92.26,Consolation Game,Open options
Week 15,Ceedeez Nutz,106.80,Etienne Tenie,94.54,Consolation Game,Open options
Week 15,Ruggs Race team,75.56,First Down-Syndrome,120.26,Consolation Game,Open options
Week 14,Kelce Ya Later,124.74,Bijan Robinzyn,90.84,,Open options
Week 14,Ceedeez Nutz,68.64,Everybody Hurts,112.18,,Open options
Week 14,Adrian BeatHisSon,111.40,King of the Hill,135.14,,Open options
Week 14,Olave Garden,108.66,Ruggs Race team,106.12,,Open options
Week 14,Deshauns Legal Team,122.34,Etienne Tenie,144.42,,Open options
Week 14,Obi-Wan-Mahomie,136.34,First Down-Syndrome,78.32,,Open options
Week 13,King of the Hill,160.20,Ceedeez Nutz,101.08,,Open options
Week 13,Everybody Hurts,136.42,Kelce Ya Later,89.12,,Open options
Week 13,Ruggs Race team,110.08,Adrian BeatHisSon,132.30,,Open options
Week 13,Olave Garden,120.80,Etienne Tenie,62.74,,Open options
Week 13,First Down-Syndrome,141.96,Deshauns Legal Team,126.86,,Open options
Week 13,Bijan Robinzyn,113.86,Obi-Wan-Mahomie,139.20,,Open options
Week 12,Ruggs Race team,108.62,Ceedeez Nutz,114.68,,Open options
Week 12,Kelce Ya Later,130.48,King of the Hill,111.48,,Open options
Week 12,Adrian BeatHisSon,116.42,Etienne Tenie,102.08,,Open options
Week 12,First Down-Syndrome,123.36,Olave Garden,126.66,,Open options
Week 12,Deshauns Legal Team,108.24,Bijan Robinzyn,138.96,,Open options
Week 12,Obi-Wan-Mahomie,106.22,Everybody Hurts,158.40,,Open options
Week 11,Olave Garden,94.74,Bijan Robinzyn,100.84,,Open options
Week 11,Kelce Ya Later,129.54,Ruggs Race team,70.94,,Open options
