Week,Team,Score_2,Opponent,Score,Game_Type,Manage
Week 11,Ceedeez Nutz,112.20,Etienne Tenie,90.62,,Open options
Week 11,Adrian BeatHisSon,94.60,First Down-Syndrome,106.00,,Open options
Week 11,Deshauns Legal Team,114.26,Everybody Hurts,100.80,,Open options
Week 11,Obi-Wan-Mahomie,157.78,King of the Hill,156.86,,Open options
Week 10,Obi-Wan-Mahomie,135.12,Ruggs Race team,81.08,,Open options
Week 10,Deshauns Legal Team,122.46,King of the Hill,83.52,,Open options
Week 10,Everybody Hurts,118.26,Olave Garden,129.42,,Open options
Week 10,Adrian BeatHisSon,148.50,Bijan Robinzyn,124.54,,Open options
Week 10,Ceedeez Nutz,116.72,First Down-Syndrome,103.98,,Open options
Week 10,Kelce Ya Later,149.52,Etienne Tenie,94.36,,Open options
Week 9,Olave Garden,112.80,King of the Hill,126.70,,Open options
Week 9,Kelce Ya Later,102.02,First Down-Syndrome,99.22,,Open options
Week 9,Ceedeez Nutz,97.34,Bijan Robinzyn,119.60,,Open options
Week 9,Adrian BeatHisSon,115.72,Everybody Hurts,100.08,,Open options
Week 9,Deshauns Legal Team,107.96,Ruggs Race team,145.72,,Open options
Week 9,Obi-Wan-Mahomie,72.10,Etienne Tenie,104.24,,Open options
Week 8,Obi-Wan-Mahomie,145.10,First Down-Syndrome,120.76,,Open options
Week 8,Bijan Robinzyn,94.20,Kelce Ya Later,120.58,,Open options
Week 8,Everybody Hurts,129.26,Ceedeez Nutz,116.02,,Open options
Week 8,King of the Hill,106.98,Adrian BeatHisSon,131.66,,Open options
Week 8,Ruggs Race team,111.36,Olave Garden,153.48,,Open options
Week 8,Etienne Tenie,124.26,Deshauns Legal Team,135.76,,Open options
Week 7,Obi-Wan-Mahomie,121.66,Bijan Robinzyn,95.66,,Open options
Week 7,Kelce Ya Later,139.70,Everybody Hurts,127.76,,Open options
Week 7,Ceedeez Nutz,72.76,King of the Hill,109.18,,Open options
Week 7,Adrian BeatHisSon,84.64,Ruggs Race team,98.12,,Open options
Week 7,Olave Garden,99.90,Etienne Tenie,100.66,,Open options
Week 7,Deshauns Legal Team,121.00,First Down-Syndrome,73.30,,Open options
Week 6,Etienne Tenie,103.62,Adrian BeatHisSon,152.38,,Open options
Week 6,King of the Hill,125.02,Kelce Ya Later,142.62,,Open options
Week 6,Ruggs Race team,105.74,Ceedeez Nutz,83.08,,Open options
Week 6,First Down-Syndrome,61.56,Olave Garden,120.10,,Open options
Week 6,Bijan Robinzyn,135.86,Deshauns Legal Team,87.54,,Open options
Week 6,Everybody Hurts,121.30,Obi-Wan-Mahomie,82.54,,Open options
Week 5,Everybody Hurts,155.92,King of the Hill,118.04,,Open options
Week 5,Bijan Robinzyn,102.76,Ruggs Race team,94.86,,Open options
Week 5,First Down-Syndrome,105.26,Etienne Tenie,165.18,,Open options
Week 5,Obi-Wan-Mahomie,111.34,Kelce Ya Later,94.12,,Open options
Week 5,Ceedeez Nutz,113.62,Deshauns Legal Team,94.16,,Open options
Week 5,Olave Garden,135.44,Adrian BeatHisSon,128.72,,Open options
Week 4,Obi-Wan-Mahomie,148.92,Ceedeez Nutz,90.08,,Open options
Week 4,Deshauns Legal Team,67.72,Olave Garden,113.90,,Open options
Week 4,Kelce Ya Later,139.70,Adrian BeatHisSon,66.46,,Open options
Week 4,Bijan Robinzyn,135.50,First Down-Syndrome,126.90,,Open options
Week 4,King of the Hill,63.68,Etienne Tenie,95.50,,Open options
Week 4,Everybody Hurts,183.06,Ruggs Race team,107.44,,Open options
Week 3,King of the Hill,181.18,Bijan Robinzyn,83.48,,Open options
Week 3,Deshauns Legal Team,164.26,Kelce Ya Later,160.62,,Open options
Week 3,Olave Garden,127.94,Ceedeez Nutz,80.50,,Open options
Week 3,Adrian BeatHisSon,118.16,Obi-Wan-Mahomie,122.58,,Open options
Week 3,First Down-Syndrome,117.62,Ruggs Race team,94.18,,Open options
Week 3,Etienne Tenie,110.66,Everybody Hurts,140.88,,Open options
Week 2,Etienne Tenie,58.44,Bijan Robinzyn,142.84,,Open options
Week 2,Ceedeez Nutz,96.60,Kelce Ya Later,117.44,,Open options
Week 2,Adrian BeatHisSon,117.64,Deshauns Legal Team,128.10,,Open options
Week 2,Obi-Wan-Mahomie,121.10,Olave Garden,121.92,,Open options
Week 2,Ruggs Race team,93.48,King of the Hill,111.88,,Open options
Week 2,Everybody Hurts,160.52,First Down-Syndrome,113.36,,Open options
Week 1,Bijan Robinzyn,102.06,Everybody Hurts,95.40,,Open options
Week 1,Ceedeez Nutz,110.76,Adrian BeatHisSon,100.54,,Open options
Week 1,Kelce Ya Later,80.32,Olave Garden,74.18,,Open options
Week 1,Deshauns Legal Team,111.76,Obi-Wan-Mahomie,152.94,,Open options
Week 1,Ruggs Race team,106.78,Etienne Tenie,116.84,,Open options
Week 1,King of the Hill,111.06,First Down-Syndrome,74.44,,Open options
