Pick,Player,Team,Keeper,Note,Misc,Manage
1.1 (1),Justin Jefferson WR (MIN),Obi-Wan-Mahomie,--,--,,Open options
1.2 (2),Christian McCaffrey RB (SF),Everybody Hurts,--,--,,Open options
1.3 (3),Austin Ekeler RB (LAC),Etienne Tenie,--,--,,Open options
1.4 (4),Tyreek Hill WR (MIA),King of the Hill,--,--,,Open options
1.5 (5),Ja'Marr Chase WR (CIN),Olave Garden,--,--,,Open options
1.6 (6),Travis Kelce TE (KC),Kelce Ya Later,--,--,,Open options
1.7 (7),Bijan Robinson RB (ATL),Bijan Robinzyn,--,--,,Open options
1.8 (8),Josh Allen QB (BUF),First Down-Syndrome,--,--,,Open options
1.9 (9),Saquon Barkley RB (NYG),Adrian BeatHisSon,--,--,,Open options
1.10 (10),Cooper Kupp WR (LAR),Ceedeez Nutz,--,--,,Open options
1.11 (11),Davante Adams WR (LV),Deshauns Legal Team,--,--,,Open options
1.12 (12),Stefon Diggs WR (BUF),Ruggs Race team,--,--,,Open options
2.1 (13),Derrick Henry RB (TEN),Ruggs Race team,--,--,,Open options
2.2 (14),Tony Pollard RB (DAL),Deshauns Legal Team,--,--,,Open options
2.3 (15),Nick Chubb RB (CLE),Ceedeez Nutz,--,--,,Open options
2.4 (16),CeeDee Lamb WR (DAL),Adrian BeatHisSon,--,--,,Open options
2.5 (17),Evan McPherson K (CIN),First Down-Syndrome,--,--,,Open options
2.6 (18),Amon-Ra St. Brown WR (DET),Bijan Robinzyn,--,--,,Open options
2.7 (19),A.J. Brown WR (PHI),Kelce Ya Later,--,--,,Open options
2.8 (20),Josh Jacobs RB (LV),Olave Garden,--,--,,Open options
2.9 (21),Joe Mixon RB (CIN),King of the Hill,--,--,,Open options
2.10 (22),Travis Etienne RB (JAX),Etienne Tenie,--,--,,Open options
2.11 (23),Garrett Wilson WR (NYJ),Everybody Hurts,--,--,,Open options
2.12 (24),DK Metcalf WR (SEA),Obi-Wan-Mahomie,--,--,,Open options
3.1 (25),Patrick Mahomes QB (KC),Obi-Wan-Mahomie,--,--,,Open options
3.2 (26),Jalen Hurts QB (PHI),Everybody Hurts,--,--,,Open options
3.3 (27),Jaylen Waddle WR (MIA),Etienne Tenie,--,--,,Open options
3.4 (28),Lamar Jackson QB (BAL),King of the Hill,--,--,,Open options
3.5 (29),Chris Olave WR (NO),Olave Garden,--,--,,Open options
3.6 (30),Rhamondre Stevenson RB (NE),Kelce Ya Later,--,--,,Open options
3.7 (31),DeVonta Smith WR (PHI),Bijan Robinzyn,--,--,,Open options
