Pick,Player,Team,Keeper,Note,Misc,Manage
3.8 (32),Tee Higgins WR (CIN),First Down-Syndrome,--,--,,Open options
3.9 (33),Najee Harris RB (PIT),Adrian BeatHisSon,--,--,,Open options
3.10 (34),Jonathan Taylor RB (IND),Ceedeez Nutz,--,--,,Open options
3.11 (35),Deebo Samuel WR (SF),Deshauns Legal Team,--,--,,Open options
3.12 (36),Aaron Jones RB (GB),Ruggs Race team,--,--,,Open options
4.1 (37),Joe Burrow QB (CIN),Ruggs Race team,--,--,,Open options
4.2 (38),Jahmyr Gibbs RB (DET),Deshauns Legal Team,--,--,,Open options
4.3 (39),Calvin Ridley WR (JAX),Ceedeez Nutz,--,--,,Open options
4.4 (40),Trevor Lawrence QB (JAX),Adrian BeatHisSon,--,--,,Open options
4.5 (41),San Francisco 49ers DEF (SF),First Down-Syndrome,--,--,,Open options
4.6 (42),Mark Andrews TE (BAL),Bijan Robinzyn,--,--,,Open options
4.7 (43),Keenan Allen WR (LAC),Kelce Ya Later,--,--,,Open options
4.8 (44),T.J. Hockenson TE (MIN),Olave Garden,--,--,,Open options
4.9 (45),Amari Cooper WR (CLE),King of the Hill,--,--,,Open options
4.10 (46),DeAndre Hopkins WR (NO),Etienne Tenie,--,--,,Open options
4.11 (47),D.J. Moore WR (CHI),Everybody Hurts,--,--,,Open options
4.12 (48),George Kittle TE (SF),Obi-Wan-Mahomie,--,--,,Open options
5.1 (49),Alvin Kamara RB (NO),Obi-Wan-Mahomie,--,--,,Open options
5.2 (50),Kenneth Walker III RB (SEA),Everybody Hurts,--,--,,Open options
5.3 (51),Justin Fields QB (CHI),Etienne Tenie,--,--,,Open options
5.4 (52),Christian Watson WR (GB),King of the Hill,--,--,,Open options
5.5 (53),Dameon Pierce RB (HOU),Olave Garden,--,--,,Open options
5.6 (54),Rachaad White RB (TB),Kelce Ya Later,--,--,,Open options
5.7 (55),Miles Sanders RB (CAR),Bijan Robinzyn,--,--,,Open options
5.8 (56),James Conner RB (ARI),First Down-Syndrome,--,--,,Open options
5.9 (57),Diontae Johnson WR (PIT),Adrian BeatHisSon,--,--,,Open options
5.10 (58),Jerry Jeudy WR (CLE),Ceedeez Nutz,--,--,,Open options
5.11 (59),Alexander Mattison RB (MIN),Deshauns Legal Team,--,--,,Open options
5.12 (60),Evan Engram TE (JAX),Ruggs Race team,--,--,,Open options
6.1 (61),Dalvin Cook RB (NYJ),Ruggs Race team,--,--,,Open options
6.2 (62),Darren Waller TE (NYG),Deshauns Legal Team,--,--,,Open options
6.3 (63),Justin Herbert QB (LAC),Ceedeez Nutz,--,--,,Open options
6.4 (64),Dallas Goedert TE (PHI),Adrian BeatHisSon,--,--,,Open options
6.5 (65),Chris Godwin WR (TB),First Down-Syndrome,--,--,,Open options
6.6 (66),Terry McLaurin WR (WAS),Bijan Robinzyn,--,--,,Open options
6.7 (67),Marquise Brown WR (ARI),Kelce Ya Later,--,--,,Open options
6.8 (68),Breece Hall RB (NYJ),Olave Garden,--,--,,Open options
6.9 (69),David Montgomery RB (DET),King of the Hill,--,--,,Open options
6.10 (70),Pat Freiermuth TE (PIT),Etienne Tenie,--,--,,Open options
6.11 (71),Tyler Lockett WR (SEA),Everybody Hurts,--,--,,Open options
6.12 (72),Brandon Aiyuk WR (SF),Obi-Wan-Mahomie,--,--,,Open options
7.1 (73),James Cook RB (BUF),Obi-Wan-Mahomie,--,--,,Open options
7.2 (74),David Njoku TE (CLE),Everybody Hurts,--,--,,Open options
7.3 (75),Christian Kirk WR (JAX),Etienne Tenie,--,--,,Open options
7.4 (76),Kyle Pitts TE (ATL),King of the Hill,--,--,,Open options
7.5 (77),Mike Williams WR (LAC),Olave Garden,--,--,,Open options
7.6 (78),Javonte Williams RB (DEN),Kelce Ya Later,--,--,,Open options
7.7 (79),Cam Akers RB (LAR),Bijan Robinzyn,--,--,,Open options
7.8 (80),Isiah Pacheco RB (KC),First Down-Syndrome,--,--,,Open options
7.9 (81),Michael Pittman WR (IND),Adrian BeatHisSon,--,--,,Open options
7.10 (82),Mike Evans WR (TB),Ceedeez Nutz,--,--,,Open options
7.11 (83),Deshaun Watson QB (CLE),Deshauns Legal Team,--,--,,Open options
7.12 (84),Drake London WR (ATL),Ruggs Race team,--,--,,Open options
8.1 (85),Kirk Cousins QB (MIN),Ruggs Race team,--,--,,Open options
8.2 (86),J.K. Dobbins RB (BAL),Deshauns Legal Team,--,--,,Open options
8.3 (87),Cole Kmet TE (CHI),Ceedeez Nutz,--,--,,Open options
8.4 (88),Justin Tucker K (BAL),Adrian BeatHisSon,--,--,,Open options
8.5 (89),Tyler Higbee TE (LAR),First Down-Syndrome,--,--,,Open options
8.6 (90),Daniel Jones QB (NYG),Bijan Robinzyn,--,--,,Open options
8.7 (91),Dak Prescott QB (DAL),Kelce Ya Later,--,--,,Open options
8.8 (92),D'Andre Swift RB (PHI),Olave Garden,--,--,,Open options
8.9 (93),George Pickens WR (PIT),King of the Hill,--,--,,Open options
8.10 (94),New England Patriots DEF (NE),Etienne Tenie,--,--,,Open options
8.11 (95),Khalil Herbert RB (CHI),Everybody Hurts,--,--,,Open options
8.12 (96),Dallas Cowboys DEF (DAL),Obi-Wan-Mahomie,--,--,,Open options
9.1 (97),AJ Dillon RB (GB),Obi-Wan-Mahomie,--,--,,Open options
9.2 (98),Brandin Cooks WR (DAL),Everybody Hurts,--,--,,Open options
9.3 (99),Antonio Gibson RB (WAS),Etienne Tenie,--,--,,Open options
9.4 (100),Jamaal Williams RB (NO),King of the Hill,--,--,,Open options
9.5 (101),Treylon Burks WR (TEN),Olave Garden,--,--,,Open options
9.6 (102),Courtland Sutton WR (DEN),Kelce Ya Later,--,--,,Open options
9.7 (103),Jerick McKinnon RB (KC),Bijan Robinzyn,--,--,,Open options
9.8 (104),Jahan Dotson WR (WAS),First Down-Syndrome,--,--,,Open options
9.9 (105),Brian Robinson RB (WAS),Adrian BeatHisSon,--,--,,Open options
9.10 (106),Jaxon Smith-Njigba WR (SEA),Ceedeez Nutz,--,--,,Open options
9.11 (107),Skyy Moore WR (KC),Deshauns Legal Team,--,--,,Open options
9.12 (108),Dalton Schultz TE (HOU),Ruggs Race team,--,--,,Open options
10.1 (109),JuJu Smith-Schuster WR (NE),Ruggs Race team,--,--,,Open options
10.2 (110),Jordan Addison WR (MIN),Deshauns Legal Team,--,--,,Open options
10.3 (111),Michael Thomas WR (NO),Ceedeez Nutz,--,--,,Open options
10.4 (112),Zay Flowers WR (BAL),Adrian BeatHisSon,--,--,,Open options
10.5 (113),Jakobi Meyers WR (LV),First Down-Syndrome,--,--,,Open options
10.6 (114),Daniel Carlson K (LV),Bijan Robinzyn,--,--,,Open options
10.7 (115),Odell Beckham WR (BAL),Kelce Ya Later,--,--,,Open options
10.8 (116),Quentin Johnston WR (LAC),Olave Garden,--,--,,Open options
10.9 (117),Tua Tagovailoa QB (MIA),King of the Hill,--,--,,Open options
10.10 (118),Adam Thielen WR (CAR),Etienne Tenie,--,--,,Open options
10.11 (119),Rondale Moore WR (ARI),Everybody Hurts,--,--,,Open options
10.12 (120),Gabriel Davis WR (BUF),Obi-Wan-Mahomie,--,--,,Open options
11.1 (121),Jeffery Wilson RB (FA),Obi-Wan-Mahomie,--,--,,Open options
11.2 (122),Brett Maher K (LAR),Everybody Hurts,--,--,,Open options
11.3 (123),Tyler Bass K (BUF),Etienne Tenie,--,--,,Open options
11.4 (124),Samaje Perine RB (DEN),King of the Hill,--,--,,Open options
11.5 (125),Geno Smith QB (SEA),Olave Garden,--,--,,Open options
11.6 (126),Harrison Butker K (KC),Kelce Ya Later,--,--,,Open options
11.7 (127),Nico Collins WR (HOU),Bijan Robinzyn,--,--,,Open options
11.8 (128),Aaron Rodgers QB (NYJ),First Down-Syndrome,--,--,,Open options
11.9 (129),Darnell Mooney WR (CHI),Adrian BeatHisSon,--,--,,Open options
11.10 (130),Rashaad Penny RB (CAR),Ceedeez Nutz,--,--,,Open options
11.11 (131),Zach Ertz TE (ARI),Deshauns Legal Team,--,--,,Open options
11.12 (132),Elijah Moore WR (CLE),Ruggs Race team,--,--,,Open options
12.1 (133),Ezekiel Elliott RB (NE),Ruggs Race team,--,--,,Open options
12.2 (134),D.J. Chark WR (LAC),Deshauns Legal Team,--,--,,Open options
12.3 (135),Michael Gallup WR (DAL),Ceedeez Nutz,--,--,,Open options
12.4 (136),Raheem Mostert RB (MIA),Adrian BeatHisSon,--,--,,Open options
12.5 (137),Devin Singletary RB (HOU),First Down-Syndrome,--,--,,Open options
12.6 (138),Tyler Boyd WR (CIN),Bijan Robinzyn,--,--,,Open options
12.7 (139),Anthony Richardson QB (IND),Kelce Ya Later,--,--,,Open options
12.8 (140),Elijah Mitchell RB (SF),Olave Garden,--,--,,Open options
12.9 (141),Buffalo Bills DEF (BUF),King of the Hill,--,--,,Open options
12.10 (142),Zay Jones WR (JAX),Etienne Tenie,--,--,,Open options
12.11 (143),Tyler Allgeier RB (ATL),Everybody Hurts,--,--,,Open options
12.12 (144),Allen Lazard WR (NYJ),Obi-Wan-Mahomie,--,--,,Open options
13.1 (145),Jason Myers K (SEA),Obi-Wan-Mahomie,--,--,,Open options
13.2 (146),Russell Wilson QB (DEN),Everybody Hurts,--,--,,Open options
13.3 (147),Hunter Renfrow WR (CAR),Etienne Tenie,--,--,,Open options
13.4 (148),Chigoziem Okonkwo TE (TEN),King of the Hill,--,--,,Open options
13.5 (149),Pittsburgh Steelers DEF (PIT),Olave Garden,--,--,,Open options
13.6 (150),Damien Harris RB (BUF),Kelce Ya Later,--,--,,Open options
13.7 (151),New Orleans Saints DEF (NO),Bijan Robinzyn,--,--,,Open options
13.8 (152),Jake Elliott K (PHI),First Down-Syndrome,--,--,,Open options
13.9 (153),Derek Carr QB (NO),Adrian BeatHisSon,--,--,,Open options
13.10 (154),Miami Dolphins DEF (MIA),Ceedeez Nutz,--,--,,Open options
13.11 (155),Zach Charbonnet RB (SEA),Deshauns Legal Team,--,--,,Open options
13.12 (156),Younghoe Koo K (ATL),Ruggs Race team,--,--,,Open options
14.1 (157),Philadelphia Eagles DEF (PHI),Ruggs Race team,--,--,,Open options
14.2 (158),Cleveland Browns DEF (CLE),Deshauns Legal Team,--,--,,Open options
14.3 (159),Jaylen Warren RB (PIT),Ceedeez Nutz,--,--,,Open options
14.4 (160),New York Jets DEF (NYJ),Adrian BeatHisSon,--,--,,Open options
14.5 (161),Green Bay Packers DEF (GB),First Down-Syndrome,--,--,,Open options
14.6 (162),K.J. Osborn WR (MIN),Bijan Robinzyn,--,--,,Open options
14.7 (163),Dalton Kincaid TE (BUF),Kelce Ya Later,--,--,,Open options
14.8 (164),Graham Gano K (NYG),Olave Garden,--,--,,Open options
14.9 (165),Parris Campbell WR (NYG),King of the Hill,--,--,,Open options
14.10 (166),DeVante Parker WR (FA),Etienne Tenie,--,--,,Open options
14.11 (167),Baltimore Ravens DEF (BAL),Everybody Hurts,--,--,,Open options
14.12 (168),Kadarius Toney WR (KC),Obi-Wan-Mahomie,--,--,,Open options
15.1 (169),Greg Dulcich TE (DEN),Obi-Wan-Mahomie,--,--,,Open options
15.2 (170),Marquez Valdes-Scantling WR (KC),Everybody Hurts,--,--,,Open options
15.3 (171),Deuce Vaughn RB (DAL),Etienne Tenie,--,--,,Open options
15.4 (172),Matt Gay K (IND),King of the Hill,--,--,,Open options
15.5 (173),Curtis Samuel WR (WAS),Olave Garden,--,--,,Open options
15.6 (174),Denver Broncos DEF (DEN),Kelce Ya Later,--,--,,Open options
15.7 (175),Jonathan Mingo WR (CAR),Bijan Robinzyn,--,--,,Open options
15.8 (176),Joshua Kelley RB (LAC),First Down-Syndrome,--,--,,Open options
15.9 (177),Jayden Reed WR (GB),Adrian BeatHisSon,--,--,,Open options
15.10 (178),Roschon Johnson RB (CHI),Ceedeez Nutz,--,--,,Open options
15.11 (179),Gus Edwards RB (BAL),Deshauns Legal Team,--,--,,Open options
15.12 (180),Joshua Palmer WR (LAC),Ruggs Race team,--,--,,Open options
16.1 (181),D'Onta Foreman RB (CHI),Ruggs Race team,--,--,,Open options
16.2 (182),Eddy Pineiro K (CAR),Deshauns Legal Team,--,--,,Open options
16.3 (183),Greg Zuerlein K (NYJ),Ceedeez Nutz,--,--,,Open options
16.4 (184),Clyde Edwards-Helaire RB (KC),Adrian BeatHisSon,--,--,,Open options
16.5 (185),Jerome Ford RB (CLE),First Down-Syndrome,--,--,,Open options
16.6 (186),Kenneth Gainwell RB (PHI),Bijan Robinzyn,--,--,,Open options
16.7 (187),Mecole Hardman WR (KC),Kelce Ya Later,--,--,,Open options
16.8 (188),Jared Goff QB (DET),Olave Garden,--,--,,Open options
16.9 (189),Kyren Williams RB (LAR),King of the Hill,--,--,,Open options
16.10 (190),Donovan Peoples-Jones WR (CLE),Etienne Tenie,--,--,,Open options
16.11 (191),Tyler Conklin TE (NYJ),Everybody Hurts,--,--,,Open options
16.12 (192),De'Von Achane RB (MIA),Obi-Wan-Mahomie,--,--,,Open options
