Transaction At,Type,Team,Transaction,FAAB,Misc,Manage
Week 3,,Adrian BeatHisSon,(+) Robert Woods HOU WR,$0,,Open options
Week 3,,Kelce Ya Later,"(+) Philadelphia Eagles PHI DEF, (-) Denver Broncos DEN DEF",$0,,Open options
Week 3,,Kelce Ya Later,"(+) Matt Breida NYG RB, (-) Isaiah Likely BAL TE",$0,,Open options
Week 2,,Everybody Hurts,"(+) Puka Nacua LAR WR, (-) Tyler Conklin NYJ TE",$0,,Open options
Week 2,,Ruggs Race team,"(+) Romeo Doubs GB WR, (-) Drake London ATL WR",$0,,Open options
Week 2,,Deshauns Legal Team,"(+) Kendrick Bourne NE WR, (-) Zach Charbonnet SEA RB",$0,,Open options
Week 2,,Olave Garden,"(+) Kenneth Gainwell PHI RB, (-) Elijah Mitchell SF RB",$0,,Open options
Week 2,,Olave Garden,"(+) Drake London ATL WR, (-) Pittsburgh Steelers PIT DEF",$0,,Open options
Week 2,,Deshauns Legal Team,"(+) Zack Moss CIN RB, (-) J.K. Dobbins BAL RB",$0,,Open options
Week 2,,First Down-Syndrome,(+) Brock Purdy SF QB,$0,,Open options
Week 2,,King of the Hill,(+) Rashid Shaheed NO WR,$0,,Open options
Week 2,,Ruggs Race team,"(+) Cleveland Browns CLE DEF, (-) Philadelphia Eagles PHI DEF",$0,,Open options
Week 2,,Deshauns Legal Team,"(+) Jake Moody SF K, (-) Eddy Pineiro CAR K",$0,,Open options
Week 2,,Etienne Tenie,"(+) Joshua Kelley LAC RB, (-) Deuce Vaughn DAL RB",$0,,Open options
Week 2,,Olave Garden,"(+) Cameron Dicker LAC K, (-) Graham Gano NYG K",$0,,Open options
Week 2,,Adrian BeatHisSon,(+) Hunter Henry NE TE,$0,,Open options
Week 2,,Etienne Tenie,"(+) Tutu Atwell LAR WR, (-) DeVante Parker FA WR",$0,,Open options
Week 2,,Everybody Hurts,"(+) Tampa Bay Buccaneers TB DEF, (-) Marquez Valdes-Scantling KC WR",$0,,Open options
Week 1,,Kelce Ya Later,"(+) Kyler Murray ARI QB, (-) Mecole Hardman KC WR",$0,,Open options
Week 1,,First Down-Syndrome,"(+) Evan Hull IND RB, (-) Devin Singletary HOU RB",$0,,Open options
Week 1,,Olave Garden,"(+) New York Giants NYG DEF, (-) Curtis Samuel WAS WR",$0,,Open options
Week 1,,Bijan Robinzyn,"(+) Juwan Johnson NO TE, (-) Kenneth Gainwell PHI RB",$0,,Open options
Week 1,,King of the Hill,(+) Jacksonville Jaguars JAX DEF,$0,,Open options
Week 1,,First Down-Syndrome,"(+) Van Jefferson LAR WR, (-) Evan Hull IND RB",$0,,Open options
Week 1,,Kelce Ya Later,"(+) Isaiah Likely BAL TE, (-) Mecole Hardman KC WR",$0,,Open options
Week 1,,Everybody Hurts,"(+) Brandon McManus JAX K, (-) Brett Maher LAR K",$0,,Open options
Week 1,,First Down-Syndrome,"(+) Deon Jackson IND RB, (-) Joshua Kelley LAC RB",$0,,Open options
Week 1,,Kelce Ya Later,(+) Mecole Hardman KC WR,$0,,Open options
Week 1,,First Down-Syndrome,"(+) Gerald Everett LAC TE, (-) Jerome Ford CLE RB",$0,,Open options
Week 1,,Deshauns Legal Team,"(+) Washington Commanders WAS DEF, (-) Cleveland Browns CLE DEF",$0,,Open options
