Transaction At,Type,Team,Transaction,FAAB,Misc,Manage
Week 17,,King of the Hill,"(+) Cade Otton TB TE, (-) Hunter Henry NE TE",$0,,Open options
Week 17,,King of the Hill,"(+) Hunter Henry NE TE, (-) Denver Broncos DEN DEF",$0,,Open options
Week 16,,King of the Hill,"(+) Buffalo Bills BUF DEF, (-) George Pickens PIT WR",$0,,Open options
Week 16,,Ceedeez Nutz,"(+) Jake Browning CIN QB, (-) Justin Herbert LAC QB",$0,,Open options
Week 16,,Kelce Ya Later,(+) Quentin Johnston LAC WR,$0,,Open options
Week 16,,Everybody Hurts,"(+) Zach Charbonnet SEA RB, (-) Tyler Allgeier ATL RB",$0,,Open options
Week 16,,Everybody Hurts,"(+) Chicago Bears CHI DEF, (-) Zay Jones JAX WR",$0,,Open options
Week 16,,Obi-Wan-Mahomie,"(+) Philadelphia Eagles PHI DEF, (-) Samaje Perine DEN RB",$0,,Open options
Week 16,,Ceedeez Nutz,"(+) Cairo Santos CHI K, (-) Riley Patterson DET K",$0,,Open options
Week 16,,Kelce Ya Later,"(+) Indianapolis Colts IND DEF, (-) Minnesota Vikings MIN DEF",$0,,Open options
Week 15,,King of the Hill,"(+) Matthew Stafford LAR QB, (-) Brevin Jordan HOU TE",$0,,Open options
Week 15,,Etienne Tenie,(+) Kansas City Chiefs KC DEF,$0,,Open options
Week 15,,King of the Hill,"(+) Atlanta Falcons ATL DEF, (-) Buffalo Bills BUF DEF",$0,,Open options
Week 15,,Olave Garden,"(+) Los Angeles Rams LAR DEF, (-) Pittsburgh Steelers PIT DEF",$0,,Open options
Week 15,,King of the Hill,"(+) Denver Broncos DEN DEF, (-) Atlanta Falcons ATL DEF",$0,,Open options
Week 14,,Kelce Ya Later,(+) Tyjae Spears TEN RB,$0,,Open options
Week 14,,King of the Hill,"(+) San Francisco 49ers SF DEF, (-) Atlanta Falcons ATL DEF",$0,,Open options
Week 14,,Ruggs Race team,"(+) Green Bay Packers GB DEF, (-) Los Angeles Chargers LAC DEF",$0,,Open options
Week 14,,Kelce Ya Later,"(+) Jerick McKinnon KC RB, (-) Zach Charbonnet SEA RB",$0,,Open options
Week 14,,Everybody Hurts,"(+) Zay Jones JAX WR, (-) Tampa Bay Buccaneers TB DEF",$0,,Open options
Week 14,,Kelce Ya Later,"(+) Minnesota Vikings MIN DEF, (-) Kansas City Chiefs KC DEF",$0,,Open options
Week 14,,Adrian BeatHisSon,(+) Jonathan Mingo CAR WR,$0,,Open options
Week 14,,Kelce Ya Later,(+) Noah Brown HOU WR,$0,,Open options
Week 14,,King of the Hill,"(+) Brevin Jordan HOU TE, (-) Zach Ertz ARI TE",$0,,Open options
Week 14,,Deshauns Legal Team,(+) Los Angeles Chargers LAC DEF,$0,,Open options
Week 14,,Etienne Tenie,(+) Clyde Edwards-Helaire KC RB,$0,,Open options
Week 13,,Etienne Tenie,(+) Jayden Reed GB WR,$0,,Open options
Week 13,,King of the Hill,"(+) Atlanta Falcons ATL DEF, (-) New England Patriots NE DEF",$0,,Open options
Week 13,,Ruggs Race team,"(+) Los Angeles Chargers LAC DEF, (-) Minnesota Vikings MIN DEF",$0,,Open options
Week 13,,Obi-Wan-Mahomie,"(+) Brandin Cooks DAL WR, (-) Michael Wilson ARI WR",$0,,Open options
Week 13,,First Down-Syndrome,"(+) Houston Texans HOU DEF, (-) San Francisco 49ers SF DEF",$0,,Open options
Week 13,,Everybody Hurts,"(+) Tampa Bay Buccaneers TB DEF, (-) D'Onta Foreman CHI RB",$0,,Open options
Week 13,,Deshauns Legal Team,(+) Tyler Conklin NYJ TE,$0,,Open options
Week 13,,Deshauns Legal Team,(+) Jonathan Mingo CAR WR,$0,,Open options
Week 13,,First Down-Syndrome,"(+) Elijah Moore CLE WR, (-) Jahan Dotson WAS WR",$0,,Open options
Week 13,,Etienne Tenie,"(+) Derek Carr NO QB, (-) Noah Brown HOU WR",$0,,Open options
Week 13,,Ceedeez Nutz,"(+) Juwan Johnson NO TE, (-) Green Bay Packers GB DEF",$0,,Open options
Week 13,,Bijan Robinzyn,"(+) Chigoziem Okonkwo TEN TE, (-) Josh Reynolds DET WR",$0,,Open options
Week 13,,King of the Hill,"(+) Zach Ertz ARI TE, (-) Cade Otton TB TE",$0,,Open options
Week 13,,Adrian BeatHisSon,(+) Chris Boswell PIT K,$0,,Open options
Week 13,,Deshauns Legal Team,(+) Los Angeles Rams LAR DEF,$0,,Open options
Week 13,,Ruggs Race team,(+) Patrick Taylor GB RB,$0,,Open options
Week 12,,Deshauns Legal Team,(+) Najee Harris PIT RB,$0,,Open options
Week 12,,Bijan Robinzyn,"(+) Isaiah Likely BAL TE, (-) Mark Andrews BAL TE",$0,,Open options
Week 12,,Ruggs Race team,"(+) Jordan Love GB QB, (-) Joe Burrow CIN QB",$0,,Open options
Week 12,,Kelce Ya Later,"(+) Zach Charbonnet SEA RB, (-) Washington Commanders WAS DEF",$0,,Open options
Week 12,,King of the Hill,"(+) Matt Gay IND K, (-) Matt Prater ARI K",$0,,Open options
Week 12,,King of the Hill,(+) New England Patriots NE DEF,$0,,Open options
Week 12,,Deshauns Legal Team,(+) Hunter Henry NE TE,$0,,Open options
Week 12,,First Down-Syndrome,(+) Robert Woods HOU WR,$0,,Open options
Week 11,,First Down-Syndrome,(+) Ty Chandler MIN RB,$0,,Open options
Week 11,,Ruggs Race team,"(+) Jake Moody SF K, (-) Kirk Cousins MIN QB",$0,,Open options
Week 11,,Etienne Tenie,"(+) Noah Brown HOU WR, (-) Carolina Panthers CAR DEF",$0,,Open options
Week 11,,Everybody Hurts,"(+) Rondale Moore ARI WR, (-) Will Levis TEN QB",$0,,Open options
Week 11,,Deshauns Legal Team,"(+) Luke Musgrave GB TE, (-) Hunter Henry NE TE",$0,,Open options
Week 11,,Deshauns Legal Team,"(+) Detroit Lions DET DEF, (-) Seattle Seahawks SEA DEF",$0,,Open options
Week 11,,Kelce Ya Later,"(+) Washington Commanders WAS DEF, (-) Indianapolis Colts IND DEF",$0,,Open options
Week 11,,King of the Hill,"(+) Matt Prater ARI K, (-) Matt Gay IND K",$0,,Open options
Week 11,,Ceedeez Nutz,"(+) Latavius Murray BUF RB, (-) Michael Gallup DAL WR",$0,,Open options
Week 11,,Obi-Wan-Mahomie,"(+) Devin Singletary HOU RB, (-) Chigoziem Okonkwo TEN TE",$0,,Open options
Week 11,,Ceedeez Nutz,"(+) Antonio Gibson WAS RB, (-) Jimmy Garoppolo LV QB",$0,,Open options
Week 11,,Kelce Ya Later,"(+) Kansas City Chiefs KC DEF, (-) Brandon McManus JAX K",$0,,Open options
Week 11,,Bijan Robinzyn,"(+) Jacksonville Jaguars JAX DEF, (-) Ka'imi Fairbairn HOU K",$0,,Open options
Week 11,,Adrian BeatHisSon,(+) Michael Mayer LV TE,$0,,Open options
Week 11,,Etienne Tenie,(+) Tyler Conklin NYJ TE,$0,,Open options
Week 11,,Olave Garden,"(+) Jason Sanders MIA K, (-) Blake Grupe NO K",$0,,Open options
Week 11,,First Down-Syndrome,(+) New York Giants NYG DEF,$0,,Open options
Week 10,,First Down-Syndrome,"(+) Latavius Murray BUF RB, (-) Brandon Powell FA WR",$0,,Open options
Week 10,,Bijan Robinzyn,"(+) Keaton Mitchell BAL RB, (-) Craig Reynolds DET RB",$0,,Open options
Week 10,,King of the Hill,"(+) Buffalo Bills BUF DEF, (-) Green Bay Packers GB DEF",$0,,Open options
Week 10,,Deshauns Legal Team,"(+) Seattle Seahawks SEA DEF, (-) Atlanta Falcons ATL DEF",$0,,Open options
Week 10,,Obi-Wan-Mahomie,"(+) Joshua Dobbs ARI QB, (-) Greg Dulcich DEN TE",$0,,Open options
Week 10,,Kelce Ya Later,"(+) Brandon McManus JAX K, (-) Jordan Love GB QB",$0,,Open options
Week 10,,Ceedeez Nutz,"(+) Green Bay Packers GB DEF, (-) Greg Zuerlein NYJ K",$0,,Open options
Week 10,,King of the Hill,"(+) Cade Otton TB TE, (-) Luke Musgrave GB TE",$0,,Open options
Week 10,,Kelce Ya Later,"(+) Indianapolis Colts IND DEF, (-) Philadelphia Eagles PHI DEF",$0,,Open options
Week 10,,Bijan Robinzyn,"(+) Jason Myers SEA K, (-) New York Giants NYG DEF",$0,,Open options
Week 10,,Etienne Tenie,(+) Carolina Panthers CAR DEF,$0,,Open options
Week 9,,Deshauns Legal Team,"(+) Hunter Henry NE TE, (-) Jacksonville Jaguars JAX DEF",$0,,Open options
Week 9,,Deshauns Legal Team,"(+) Demario Douglas NE WR, (-) Kendrick Bourne NE WR",$0,,Open options
Week 9,,King of the Hill,"(+) Taysom Hill NO QB, (-) Hunter Henry NE TE",$0,,Open options
Week 9,,Deshauns Legal Team,"(+) Atlanta Falcons ATL DEF, (-) Kansas City Chiefs KC DEF",$0,,Open options
Week 9,,Deshauns Legal Team,"(+) Cameron Dicker LAC K, (-) Jake Moody SF K",$0,,Open options
Week 9,,First Down-Syndrome,(+) Devin Singletary HOU RB,$0,,Open options
Week 9,,Etienne Tenie,(+) Chuba Hubbard CAR RB,$0,,Open options
Week 9,,Olave Garden,"(+) Pittsburgh Steelers PIT DEF, (-) Seattle Seahawks SEA DEF",$0,,Open options
Week 9,,Everybody Hurts,"(+) Will Levis TEN QB, (-) Rondale Moore ARI WR",$0,,Open options
Week 9,,Obi-Wan-Mahomie,(+) Chigoziem Okonkwo TEN TE,$0,,Open options
Week 9,,King of the Hill,"(+) Green Bay Packers GB DEF, (-) Buffalo Bills BUF DEF",$0,,Open options
Week 9,,Etienne Tenie,(+) Derek Carr NO QB,$0,,Open options
Week 9,,Ruggs Race team,"(+) Minnesota Vikings MIN DEF, (-) Detroit Lions DET DEF",$0,,Open options
Week 9,,First Down-Syndrome,"(+) Las Vegas Raiders LV DEF, (-) Green Bay Packers GB DEF",$0,,Open options
Week 9,,Olave Garden,"(+) Blake Grupe NO K, (-) Brandon McManus JAX K",$0,,Open options
Week 8,,Deshauns Legal Team,"(+) Dak Prescott DAL QB, (-) Matthew Stafford LAR QB",$0,,Open options
Week 8,,Etienne Tenie,(+) Dustin Hopkins CLE K,$0,,Open options
Week 8,,Obi-Wan-Mahomie,(+) Odell Beckham BAL WR,$0,,Open options
Week 8,,Kelce Ya Later,"(+) Mecole Hardman KC WR, (-) Las Vegas Raiders LV DEF",$0,,Open options
Week 8,,Everybody Hurts,"(+) Nick Folk TEN K, (-) Brett Maher LAR K",$0,,Open options
Week 8,,Bijan Robinzyn,"(+) New York Giants NYG DEF, (-) Jason Myers SEA K",$0,,Open options
Week 8,,King of the Hill,(+) Darrell Henderson FA RB,$0,,Open options
Week 8,,First Down-Syndrome,"(+) Trey McBride ARI TE, (-) Tyler Higbee LAR TE",$0,,Open options
Week 8,,King of the Hill,"(+) Kyler Murray ARI QB, (-) Jamaal Williams NO RB",$0,,Open options
Week 8,,Adrian BeatHisSon,(+) Brandin Cooks DAL WR,$0,,Open options
Week 8,,First Down-Syndrome,(+) Emari Demercado ARI RB,$0,,Open options
Week 8,,Olave Garden,"(+) Seattle Seahawks SEA DEF, (-) Tampa Bay Buccaneers TB DEF",$0,,Open options
Week 8,,Olave Garden,"(+) Brandon McManus JAX K, (-) Anders Carlson GB K",$0,,Open options
Week 8,,First Down-Syndrome,(+) Brandon Powell FA WR,$0,,Open options
Week 7,,King of the Hill,"(+) Zach Evans LAR RB, (-) Quentin Johnston LAC WR",$0,,Open options
Week 7,,Etienne Tenie,(+) Cleveland Browns CLE DEF,$0,,Open options
Week 7,,Etienne Tenie,(+) Geno Smith SEA QB,$0,,Open options
Week 7,,Kelce Ya Later,"(+) Kareem Hunt KC RB, (-) Emari Demercado ARI RB",$0,,Open options
Week 7,,Bijan Robinzyn,"(+) Sam Howell WAS QB, (-) Cam Akers LAR RB",$0,,Open options
Week 7,,Obi-Wan-Mahomie,(+) Jason Sanders MIA K,$0,,Open options
Week 7,,Obi-Wan-Mahomie,(+) Washington Commanders WAS DEF,$0,,Open options
Week 7,,Bijan Robinzyn,"(+) Jason Myers SEA K, (-) Chuba Hubbard CAR RB",$0,,Open options
Week 7,,Deshauns Legal Team,"(+) Jacksonville Jaguars JAX DEF, (-) Skyy Moore KC WR",$0,,Open options
Week 7,,Olave Garden,"(+) Baker Mayfield TB QB, (-) Joshua Dobbs ARI QB",$0,,Open options
Week 7,,Bijan Robinzyn,"(+) Craig Reynolds DET RB, (-) Minnesota Vikings MIN DEF",$0,,Open options
Week 7,,Kelce Ya Later,"(+) Las Vegas Raiders LV DEF, (-) Mecole Hardman KC WR",$0,,Open options
Week 7,,Olave Garden,"(+) Tampa Bay Buccaneers TB DEF, (-) Atlanta Falcons ATL DEF",$0,,Open options
Week 7,,Olave Garden,"(+) Anders Carlson GB K, (-) Matt Prater ARI K",$0,,Open options
Week 7,,Ceedeez Nutz,"(+) Riley Patterson DET K, (-) Rashaad Penny CAR RB",$0,,Open options
Week 7,,Adrian BeatHisSon,(+) Los Angeles Rams LAR DEF,$0,,Open options
Week 7,,Kelce Ya Later,(+) Mecole Hardman KC WR,$0,,Open options
Week 6,,Bijan Robinzyn,"(+) Chuba Hubbard CAR RB, (-) Juwan Johnson NO TE",$0,,Open options
Week 6,,Deshauns Legal Team,"(+) Matthew Stafford LAR QB, (-) Daniel Jones NYG QB",$0,,Open options
Week 6,,Ruggs Race team,"(+) Logan Thomas WAS TE, (-) Elijah Moore CLE WR",$0,,Open options
Week 6,,Kelce Ya Later,(+) Emari Demercado ARI RB,$0,,Open options
Week 6,,Kelce Ya Later,"(+) Jared Goff DET QB, (-) Chuba Hubbard CAR RB",$0,,Open options
Week 6,,Everybody Hurts,"(+) Curtis Samuel WAS WR, (-) Brandin Cooks DAL WR",$0,,Open options
Week 6,,Everybody Hurts,(+) D'Onta Foreman CHI RB,$0,,Open options
Week 6,,Bijan Robinzyn,"(+) Minnesota Vikings MIN DEF, (-) Jonathan Mingo CAR WR",$0,,Open options
Week 6,,Olave Garden,"(+) Atlanta Falcons ATL DEF, (-) Washington Commanders WAS DEF",$0,,Open options
Week 6,,Adrian BeatHisSon,(+) Salvon Ahmed MIA RB,$0,,Open options
Week 5,,King of the HillAdrian BeatHisSon,"(+) Saquon Barkley NYG RB, (+) Hunter Henry NE TE, (+) Zay Flowers BAL WR, (-) David Montgomery DET RB, (-) Kyle Pitts ATL TE, (-) Tua Tagovailoa MIA QB, (-) Rashid Shaheed NO WR",$0,,Open options
Week 5,,Bijan Robinzyn,"(+) C.J. Stroud HOU QB, (-) Jared Goff DET QB",$0,,Open options
Week 5,,Obi-Wan-Mahomie,"(+) Michael Wilson ARI WR, (-) Kadarius Toney KC WR",$0,,Open options
Week 5,,Etienne Tenie,(+) Jaleel McLaughlin DEN RB,$0,,Open options
Week 5,,Ruggs Race team,"(+) Detroit Lions DET DEF, (-) Cleveland Browns CLE DEF",$0,,Open options
Week 5,,Bijan Robinzyn,"(+) Ka'imi Fairbairn HOU K, (-) Daniel Carlson LV K",$0,,Open options
Week 5,,Etienne Tenie,(+) Jonnu Smith MIA TE,$0,,Open options
Week 5,,King of the Hill,(+) Rashee Rice KC WR,$0,,Open options
Week 5,,King of the Hill,"(+) Tyjae Spears TEN RB, (-) Pittsburgh Steelers PIT DEF",$0,,Open options
Week 5,,Etienne Tenie,(+) Darnell Mooney CHI WR,$0,,Open options
Week 5,,Kelce Ya Later,"(+) Chuba Hubbard CAR RB, (-) Matt Breida NYG RB",$0,,Open options
Week 5,,Olave Garden,"(+) Joshua Dobbs ARI QB, (-) Geno Smith SEA QB",$0,,Open options
Week 5,,Olave Garden,"(+) Washington Commanders WAS DEF, (-) Jacksonville Jaguars JAX DEF",$0,,Open options
Week 5,,Olave Garden,"(+) Matt Prater ARI K, (-) Cameron Dicker LAC K",$0,,Open options
Week 4,,Olave Garden,"(+) De'Von Achane MIA RB, (-) Mike Williams LAC WR",$0,,Open options
Week 4,,King of the Hill,(+) Quentin Johnston LAC WR,$0,,Open options
Week 4,,Bijan Robinzyn,"(+) Jared Goff DET QB, (-) Daniel Jones NYG QB",$0,,Open options
Week 4,,King of the Hill,"(+) Luke Musgrave GB TE, (-) Chigoziem Okonkwo TEN TE",$0,,Open options
Week 4,,Everybody Hurts,"(+) Brett Maher LAR K, (-) Brandon McManus JAX K",$0,,Open options
Week 4,,King of the Hill,"(+) Pittsburgh Steelers PIT DEF, (-) Kareem Hunt KC RB",$0,,Open options
Week 4,,Kelce Ya Later,(+) Josh Downs IND WR,$0,,Open options
Week 4,,Deshauns Legal Team,"(+) Daniel Jones NYG QB, (-) Washington Commanders WAS DEF",$0,,Open options
Week 4,,Ceedeez Nutz,"(+) Jimmy Garoppolo LV QB, (-) Nick Chubb CLE RB",$0,,Open options
Week 4,,Adrian BeatHisSon,(+) Kenny Pickett PIT QB,$0,,Open options
Week 3,,Obi-Wan-Mahomie,"(+) Samaje Perine DEN RB, (-) De'Von Achane MIA RB",$0,,Open options
Week 3,,Everybody Hurts,"(+) Sam LaPorta DET TE, (-) Tampa Bay Buccaneers TB DEF",$0,,Open options
Week 3,,Olave Garden,"(+) Jerome Ford CLE RB, (-) New York Giants NYG DEF",$0,,Open options
Week 3,,Deshauns Legal Team,"(+) Kansas City Chiefs KC DEF, (-) D.J. Chark LAC WR",$0,,Open options
Week 3,,Bijan Robinzyn,"(+) Josh Reynolds DET WR, (-) Jerick McKinnon KC RB",$0,,Open options
Week 3,,Kelce Ya Later,"(+) Tank Dell HOU WR, (-) Damien Harris BUF RB",$0,,Open options
Week 3,,Olave Garden,"(+) Diontae Johnson PIT WR, (-) Quentin Johnston LAC WR",$0,,Open options
Week 3,,Olave Garden,"(+) Jake Ferguson DAL TE, (-) Treylon Burks TEN WR",$0,,Open options
Week 3,,Kelce Ya Later,(+) Jordan Love GB QB,$0,,Open options
Week 3,,Obi-Wan-Mahomie,"(+) Brandon Aubrey DAL K, (-) Jason Myers SEA K",$0,,Open options
Week 3,,Ruggs Race team,"(+) Justice Hill BAL RB, (-) D'Onta Foreman CHI RB",$0,,Open options
Week 3,,Olave Garden,"(+) Jacksonville Jaguars JAX DEF, (-) Jared Goff DET QB",$0,,Open options
Week 3,,King of the Hill,"(+) Kareem Hunt KC RB, (-) Samaje Perine DEN RB",$0,,Open options
